x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
5.4836852419e-01,1.3379633880e+04,2.6847358051e+02,-5.0841554815e+02,1.3379633880e+01,2.6847358051e-01,-5.0841554815e-01
5.6279927482e-01,1.3379633880e+04,2.7581039851e+02,-5.0841554815e+02,1.3379633880e+01,2.7581039851e-01,-5.0841554815e-01
5.7723002546e-01,1.3379633880e+04,2.8314721650e+02,-5.0841554815e+02,1.3379633880e+01,2.8314721650e-01,-5.0841554815e-01
5.9166077609e-01,1.3379633880e+04,2.9048403450e+02,-5.0841554815e+02,1.3379633880e+01,2.9048403450e-01,-5.0841554815e-01
6.0609152673e-01,1.3379633880e+04,2.9782085249e+02,-5.0841554815e+02,1.3379633880e+01,2.9782085249e-01,-5.0841554815e-01
6.2052227737e-01,1.3379633880e+04,3.0515767049e+02,-5.0841554815e+02,1.3379633880e+01,3.0515767049e-01,-5.0841554815e-01
6.3495302800e-01,1.3379633880e+04,3.1249448848e+02,-5.0841554815e+02,1.3379633880e+01,3.1249448848e-01,-5.0841554815e-01
6.4938377864e-01,1.3379633880e+04,3.1983130648e+02,-5.0841554815e+02,1.3379633880e+01,3.1983130648e-01,-5.0841554815e-01
6.6381452928e-01,1.3379633880e+04,3.2716812447e+02,-5.0841554815e+02,1.3379633880e+01,3.2716812447e-01,-5.0841554815e-01
6.7824527991e-01,1.3379633880e+04,3.3450494247e+02,-5.0841554815e+02,1.3379633880e+01,3.3450494247e-01,-5.0841554815e-01
6.9267603055e-01,1.3379633880e+04,3.4184176046e+02,-5.0841554815e+02,1.3379633880e+01,3.4184176046e-01,-5.0841554815e-01
7.0710678119e-01,1.3379633880e+04,3.4917857846e+02,-5.0841554815e+02,1.3379633880e+01,3.4917857846e-01,-5.0841554815e-01
