x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,5.8986742353e+03,1.0325503301e+01,-1.7966607181e+02,5.8986742353e+00,1.0325503301e-02,-1.7966607181e-01
2.0408163265e-02,5.8986742353e+03,1.3992157827e+01,-1.7966607181e+02,5.8986742353e+00,1.3992157827e-02,-1.7966607181e-01
4.0816326531e-02,5.8986742353e+03,1.7658812354e+01,-1.7966607181e+02,5.8986742353e+00,1.7658812354e-02,-1.7966607181e-01
6.1224489796e-02,5.8986742353e+03,2.1325466881e+01,-1.7966607181e+02,5.8986742353e+00,2.1325466881e-02,-1.7966607181e-01
8.1632653061e-02,5.8986742353e+03,2.4992121407e+01,-1.7966607181e+02,5.8986742353e+00,2.4992121407e-02,-1.7966607181e-01
1.0204081633e-01,5.8986742353e+03,2.8658775934e+01,-1.7966607181e+02,5.8986742353e+00,2.8658775934e-02,-1.7966607181e-01
1.2244897959e-01,5.8986742353e+03,3.2325430461e+01,-1.7966607181e+02,5.8986742353e+00,3.2325430461e-02,-1.7966607181e-01
1.4285714286e-01,5.8986742353e+03,3.5992084988e+01,-1.7966607181e+02,5.8986742353e+00,3.5992084988e-02,-1.7966607181e-01
1.6326530612e-01,5.8986742353e+03,3.9658739514e+01,-1.7966607181e+02,5.8986742353e+00,3.9658739514e-02,-1.7966607181e-01
1.8367346939e-01,5.8986742353e+03,4.3325394041e+01,-1.7966607181e+02,5.8986742353e+00,4.3325394041e-02,-1.7966607181e-01
2.0408163265e-01,5.8986742353e+03,4.6992048568e+01,-1.7966607181e+02,5.8986742353e+00,4.6992048568e-02,-1.7966607181e-01
2.2448979592e-01,5.8986742353e+03,5.0658703095e+01,-1.7966607181e+02,5.8986742353e+00,5.0658703095e-02,-1.7966607181e-01
2.4489795918e-01,5.8986742353e+03,5.4325357621e+01,-1.7966607181e+02,5.8986742353e+00,5.4325357621e-02,-1.7966607181e-01
2.6530612245e-01,5.8986742353e+03,5.7992012148e+01,-1.7966607181e+02,5.8986742353e+00,5.7992012148e-02,-1.7966607181e-01
2.8571428571e-01,5.8986742353e+03,6.1658666675e+01,-1.7966607181e+02,5.8986742353e+00,6.1658666675e-02,-1.7966607181e-01
3.0612244898e-01,5.8986742353e+03,6.5325321201e+01,-1.7966607181e+02,5.8986742353e+00,6.5325321201e-02,-1.7966607181e-01
3.2653061224e-01,5.8986742353e+03,6.8991975728e+01,-1.7966607181e+02,5.8986742353e+00,6.8991975728e-02,-1.7966607181e-01
3.4693877551e-01,5.8986742353e+03,7.2658630255e+01,-1.7966607181e+02,5.8986742353e+00,7.2658630255e-02,-1.7966607181e-01
3.6734693878e-01,5.8986742353e+03,7.6325284782e+01,-1.7966607181e+02,5.8986742353e+00,7.6325284782e-02,-1.7966607181e-01
3.8775510204e-01,5.8986742353e+03,7.9991939308e+01,-1.7966607181e+02,5.8986742353e+00,7.9991939308e-02,-1.7966607181e-01
4.0816326531e-01,5.8986742353e+03,8.3658593835e+01,-1.7966607181e+02,5.8986742353e+00,8.3658593835e-02,-1.7966607181e-01
4.2857142857e-01,5.8986742353e+03,8.7325248362e+01,-1.7966607181e+02,5.8986742353e+00,8.7325248362e-02,-1.7966607181e-01
4.4897959184e-01,5.8986742353e+03,9.0991902888e+01,-1.7966607181e+02,5.8986742353e+00,9.0991902888e-02,-1.7966607181e-01
4.6938775510e-01,5.8986742353e+03,9.4658557415e+01,-1.7966607181e+02,5.8986742353e+00,9.4658557415e-02,-1.7966607181e-01
4.8979591837e-01,5.8986742353e+03,9.8325211942e+01,-1.7966607181e+02,5.8986742353e+00,9.8325211942e-02,-1.7966607181e-01
5.1020408163e-01,5.8986742353e+03,1.0199186647e+02,-1.7966607181e+02,5.8986742353e+00,1.0199186647e-01,-1.7966607181e-01
5.3061224490e-01,5.8986742353e+03,1.0565852100e+02,-1.7966607181e+02,5.8986742353e+00,1.0565852100e-01,-1.7966607181e-01
5.5102040816e-01,5.8986742353e+03,1.0932517552e+02,-1.7966607181e+02,5.8986742353e+00,1.0932517552e-01,-1.7966607181e-01
5.7142857143e-01,5.8986742353e+03,1.1299183005e+02,-1.7966607181e+02,5.8986742353e+00,1.1299183005e-01,-1.7966607181e-01
5.9183673469e-01,5.8986742353e+03,1.1665848458e+02,-1.7966607181e+02,5.8986742353e+00,1.1665848458e-01,-1.7966607181e-01
6.1224489796e-01,5.8986742353e+03,1.2032513910e+02,-1.7966607181e+02,5.8986742353e+00,1.2032513910e-01,-1.7966607181e-01
6.3265306122e-01,5.8986742353e+03,1.2399179363e+02,-1.7966607181e+02,5.8986742353e+00,1.2399179363e-01,-1.7966607181e-01
6.5306122449e-01,5.8986742353e+03,1.2765844816e+02,-1.7966607181e+02,5.8986742353e+00,1.2765844816e-01,-1.7966607181e-01
6.7346938776e-01,5.8986742353e+03,1.3132510268e+02,-1.7966607181e+02,5.8986742353e+00,1.3132510268e-01,-1.7966607181e-01
6.9387755102e-01,5.8986742353e+03,1.3499175721e+02,-1.7966607181e+02,5.8986742353e+00,1.3499175721e-01,-1.7966607181e-01
7.1428571429e-01,5.8986742353e+03,1.3865841174e+02,-1.7966607181e+02,5.8986742353e+00,1.3865841174e-01,-1.7966607181e-01
7.3469387755e-01,5.8986742353e+03,1.4232506626e+02,-1.7966607181e+02,5.8986742353e+00,1.4232506626e-01,-1.7966607181e-01
7.5510204082e-01,5.8986742353e+03,1.4599172079e+02,-1.7966607181e+02,5.8986742353e+00,1.4599172079e-01,-1.7966607181e-01
7.7551020408e-01,5.8986742353e+03,1.4965837532e+02,-1.7966607181e+02,5.8986742353e+00,1.4965837532e-01,-1.7966607181e-01
