x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,9.9774818506e+02,3.3850751506e+02,9.6826785365e+02,9.9774818506e-01,3.3850751506e-01,9.6826785365e-01
1.4430750636e-02,9.9774818506e+02,3.2453468311e+02,9.6826785365e+02,9.9774818506e-01,3.2453468311e-01,9.6826785365e-01
2.8861501273e-02,9.9774818506e+02,3.1056185117e+02,9.6826785365e+02,9.9774818506e-01,3.1056185117e-01,9.6826785365e-01
4.3292251909e-02,9.9774818506e+02,2.9658901922e+02,9.6826785365e+02,9.9774818506e-01,2.9658901922e-01,9.6826785365e-01
5.7723002546e-02,9.9774818506e+02,2.8261618728e+02,9.6826785365e+02,9.9774818506e-01,2.8261618728e-01,9.6826785365e-01
7.2153753182e-02,9.9774818506e+02,2.6864335533e+02,9.6826785365e+02,9.9774818506e-01,2.6864335533e-01,9.6826785365e-01
8.6584503819e-02,9.9774818506e+02,2.5467052339e+02,9.6826785365e+02,9.9774818506e-01,2.5467052339e-01,9.6826785365e-01
1.0101525446e-01,9.9774818506e+02,2.4069769144e+02,9.6826785365e+02,9.9774818506e-01,2.4069769144e-01,9.6826785365e-01
1.1544600509e-01,9.9774818506e+02,2.2672485949e+02,9.6826785365e+02,9.9774818506e-01,2.2672485949e-01,9.6826785365e-01
1.2987675573e-01,9.9774818506e+02,2.1275202755e+02,9.6826785365e+02,9.9774818506e-01,2.1275202755e-01,9.6826785365e-01
1.4430750636e-01,9.9774818506e+02,1.9877919560e+02,9.6826785365e+02,9.9774818506e-01,1.9877919560e-01,9.6826785365e-01
1.5873825700e-01,9.9774818506e+02,1.8480636366e+02,9.6826785365e+02,9.9774818506e-01,1.8480636366e-01,9.6826785365e-01
1.7316900764e-01,9.9774818506e+02,1.7083353171e+02,9.6826785365e+02,9.9774818506e-01,1.7083353171e-01,9.6826785365e-01
1.8759975827e-01,9.9774818506e+02,1.5686069977e+02,9.6826785365e+02,9.9774818506e-01,1.5686069977e-01,9.6826785365e-01
2.0203050891e-01,9.9774818506e+02,1.4288786782e+02,9.6826785365e+02,9.9774818506e-01,1.4288786782e-01,9.6826785365e-01
2.1646125955e-01,9.9774818506e+02,1.2891503588e+02,9.6826785365e+02,9.9774818506e-01,1.2891503588e-01,9.6826785365e-01
