x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,5.2381205705e+03,-2.6060317614e+02,-8.1567354992e+02,5.2381205705e+00,-2.6060317614e-01,-8.1567354992e-01
1.4430750636e-02,5.2381205705e+03,-2.4883239454e+02,-8.1567354992e+02,5.2381205705e+00,-2.4883239454e-01,-8.1567354992e-01
2.8861501273e-02,5.2381205705e+03,-2.3706161295e+02,-8.1567354992e+02,5.2381205705e+00,-2.3706161295e-01,-8.1567354992e-01
4.3292251909e-02,5.2381205705e+03,-2.2529083135e+02,-8.1567354992e+02,5.2381205705e+00,-2.2529083135e-01,-8.1567354992e-01
5.7723002546e-02,5.2381205705e+03,-2.1352004975e+02,-8.1567354992e+02,5.2381205705e+00,-2.1352004975e-01,-8.1567354992e-01
7.2153753182e-02,5.2381205705e+03,-2.0174926815e+02,-8.1567354992e+02,5.2381205705e+00,-2.0174926815e-01,-8.1567354992e-01
8.6584503819e-02,5.2381205705e+03,-1.8997848655e+02,-8.1567354992e+02,5.2381205705e+00,-1.8997848655e-01,-8.1567354992e-01
1.0101525446e-01,5.2381205705e+03,-1.7820770495e+02,-8.1567354992e+02,5.2381205705e+00,-1.7820770495e-01,-8.1567354992e-01
1.1544600509e-01,5.2381205705e+03,-1.6643692335e+02,-8.1567354992e+02,5.2381205705e+00,-1.6643692335e-01,-8.1567354992e-01
1.2987675573e-01,5.2381205705e+03,-1.5466614175e+02,-8.1567354992e+02,5.2381205705e+00,-1.5466614175e-01,-8.1567354992e-01
1.4430750636e-01,5.2381205705e+03,-1.4289536015e+02,-8.1567354992e+02,5.2381205705e+00,-1.4289536015e-01,-8.1567354992e-01
1.5873825700e-01,5.2381205705e+03,-1.3112457855e+02,-8.1567354992e+02,5.2381205705e+00,-1.3112457855e-01,-8.1567354992e-01
1.7316900764e-01,5.2381205705e+03,-1.1935379695e+02,-8.1567354992e+02,5.2381205705e+00,-1.1935379695e-01,-8.1567354992e-01
1.8759975827e-01,5.2381205705e+03,-1.0758301535e+02,-8.1567354992e+02,5.2381205705e+00,-1.0758301535e-01,-8.1567354992e-01
2.0203050891e-01,5.2381205705e+03,-9.5812233750e+01,-8.1567354992e+02,5.2381205705e+00,-9.5812233750e-02,-8.1567354992e-01
2.1646125955e-01,5.2381205705e+03,-8.4041452150e+01,-8.1567354992e+02,5.2381205705e+00,-8.4041452150e-02,-8.1567354992e-01
2.3089201018e-01,5.2381205705e+03,-7.2270670551e+01,-8.1567354992e+02,5.2381205705e+00,-7.2270670551e-02,-8.1567354992e-01
2.4532276082e-01,5.2381205705e+03,-6.0499888951e+01,-8.1567354992e+02,5.2381205705e+00,-6.0499888951e-02,-8.1567354992e-01
2.5975351146e-01,5.2381205705e+03,-4.8729107351e+01,-8.1567354992e+02,5.2381205705e+00,-4.8729107351e-02,-8.1567354992e-01
2.7418426209e-01,5.2381205705e+03,-3.6958325752e+01,-8.1567354992e+02,5.2381205705e+00,-3.6958325752e-02,-8.1567354992e-01
2.8861501273e-01,5.2381205705e+03,-2.5187544152e+01,-8.1567354992e+02,5.2381205705e+00,-2.5187544152e-02,-8.1567354992e-01
3.0304576337e-01,5.2381205705e+03,-1.3416762553e+01,-8.1567354992e+02,5.2381205705e+00,-1.3416762553e-02,-8.1567354992e-01
3.1747651400e-01,5.2381205705e+03,-1.6459809531e+00,-8.1567354992e+02,5.2381205705e+00,-1.6459809531e-03,-8.1567354992e-01
3.3190726464e-01,5.2381205705e+03,1.0124800647e+01,-8.1567354992e+02,5.2381205705e+00,1.0124800647e-02,-8.1567354992e-01
3.4633801528e-01,5.2381205705e+03,2.1895582246e+01,-8.1567354992e+02,5.2381205705e+00,2.1895582246e-02,-8.1567354992e-01
3.6076876591e-01,5.2381205705e+03,3.3666363846e+01,-8.1567354992e+02,5.2381205705e+00,3.3666363846e-02,-8.1567354992e-01
3.7519951655e-01,5.2381205705e+03,4.5437145445e+01,-8.1567354992e+02,5.2381205705e+00,4.5437145445e-02,-8.1567354992e-01
3.8963026718e-01,5.2381205705e+03,5.7207927045e+01,-8.1567354992e+02,5.2381205705e+00,5.7207927045e-02,-8.1567354992e-01
4.0406101782e-01,5.2381205705e+03,6.8978708645e+01,-8.1567354992e+02,5.2381205705e+00,6.8978708645e-02,-8.1567354992e-01
4.1849176846e-01,5.2381205705e+03,8.0749490244e+01,-8.1567354992e+02,5.2381205705e+00,8.0749490244e-02,-8.1567354992e-01
4.3292251909e-01,5.2381205705e+03,9.2520271844e+01,-8.1567354992e+02,5.2381205705e+00,9.2520271844e-02,-8.1567354992e-01
4.4735326973e-01,5.2381205705e+03,1.0429105344e+02,-8.1567354992e+02,5.2381205705e+00,1.0429105344e-01,-8.1567354992e-01
4.6178402037e-01,5.2381205705e+03,1.1606183504e+02,-8.1567354992e+02,5.2381205705e+00,1.1606183504e-01,-8.1567354992e-01
4.7621477100e-01,5.2381205705e+03,1.2783261664e+02,-8.1567354992e+02,5.2381205705e+00,1.2783261664e-01,-8.1567354992e-01
4.9064552164e-01,5.2381205705e+03,1.3960339824e+02,-8.1567354992e+02,5.2381205705e+00,1.3960339824e-01,-8.1567354992e-01
5.0507627228e-01,5.2381205705e+03,1.5137417984e+02,-8.1567354992e+02,5.2381205705e+00,1.5137417984e-01,-8.1567354992e-01
5.1950702291e-01,5.2381205705e+03,1.6314496144e+02,-8.1567354992e+02,5.2381205705e+00,1.6314496144e-01,-8.1567354992e-01
5.3393777355e-01,5.2381205705e+03,1.7491574304e+02,-8.1567354992e+02,5.2381205705e+00,1.7491574304e-01,-8.1567354992e-01
5.4836852419e-01,5.2381205705e+03,1.8668652464e+02,-8.1567354992e+02,5.2381205705e+00,1.8668652464e-01,-8.1567354992e-01
5.6279927482e-01,5.2381205705e+03,1.9845730624e+02,-8.1567354992e+02,5.2381205705e+00,1.9845730624e-01,-8.1567354992e-01
5.7723002546e-01,5.2381205705e+03,2.1022808784e+02,-8.1567354992e+02,5.2381205705e+00,2.1022808784e-01,-8.1567354992e-01
5.9166077609e-01,5.2381205705e+03,2.2199886944e+02,-8.1567354992e+02,5.2381205705e+00,2.2199886944e-01,-8.1567354992e-01
6.0609152673e-01,5.2381205705e+03,2.3376965104e+02,-8.1567354992e+02,5.2381205705e+00,2.3376965104e-01,-8.1567354992e-01
6.2052227737e-01,5.2381205705e+03,2.4554043264e+02,-8.1567354992e+02,5.2381205705e+00,2.4554043264e-01,-8.1567354992e-01
