x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,8.5489144885e+03,-1.6702067173e+02,-2.5135649544e+01,8.5489144885e+00,-1.6702067173e-01,-2.5135649544e-02
2.0408163265e-02,8.5489144885e+03,-1.6650769929e+02,-2.5135649544e+01,8.5489144885e+00,-1.6650769929e-01,-2.5135649544e-02
4.0816326531e-02,8.5489144885e+03,-1.6599472685e+02,-2.5135649544e+01,8.5489144885e+00,-1.6599472685e-01,-2.5135649544e-02
6.1224489796e-02,8.5489144885e+03,-1.6548175441e+02,-2.5135649544e+01,8.5489144885e+00,-1.6548175441e-01,-2.5135649544e-02
8.1632653061e-02,8.5489144885e+03,-1.6496878197e+02,-2.5135649544e+01,8.5489144885e+00,-1.6496878197e-01,-2.5135649544e-02
1.0204081633e-01,8.5489144885e+03,-1.6445580953e+02,-2.5135649544e+01,8.5489144885e+00,-1.6445580953e-01,-2.5135649544e-02
1.2244897959e-01,8.5489144885e+03,-1.6394283709e+02,-2.5135649544e+01,8.5489144885e+00,-1.6394283709e-01,-2.5135649544e-02
1.4285714286e-01,8.5489144885e+03,-1.6342986465e+02,-2.5135649544e+01,8.5489144885e+00,-1.6342986465e-01,-2.5135649544e-02
1.6326530612e-01,8.5489144885e+03,-1.6291689221e+02,-2.5135649544e+01,8.5489144885e+00,-1.6291689221e-01,-2.5135649544e-02
1.8367346939e-01,8.5489144885e+03,-1.6240391977e+02,-2.5135649544e+01,8.5489144885e+00,-1.6240391977e-01,-2.5135649544e-02
2.0408163265e-01,8.5489144885e+03,-1.6189094733e+02,-2.5135649544e+01,8.5489144885e+00,-1.6189094733e-01,-2.5135649544e-02
2.2448979592e-01,8.5489144885e+03,-1.6137797489e+02,-2.5135649544e+01,8.5489144885e+00,-1.6137797489e-01,-2.5135649544e-02
2.4489795918e-01,8.5489144885e+03,-1.6086500245e+02,-2.5135649544e+01,8.5489144885e+00,-1.6086500245e-01,-2.5135649544e-02
2.6530612245e-01,8.5489144885e+03,-1.6035203001e+02,-2.5135649544e+01,8.5489144885e+00,-1.6035203001e-01,-2.5135649544e-02
2.8571428571e-01,8.5489144885e+03,-1.5983905757e+02,-2.5135649544e+01,8.5489144885e+00,-1.5983905757e-01,-2.5135649544e-02
3.0612244898e-01,8.5489144885e+03,-1.5932608514e+02,-2.5135649544e+01,8.5489144885e+00,-1.5932608514e-01,-2.5135649544e-02
3.2653061224e-01,8.5489144885e+03,-1.5881311270e+02,-2.5135649544e+01,8.5489144885e+00,-1.5881311270e-01,-2.5135649544e-02
3.4693877551e-01,8.5489144885e+03,-1.5830014026e+02,-2.5135649544e+01,8.5489144885e+00,-1.5830014026e-01,-2.5135649544e-02
3.6734693878e-01,8.5489144885e+03,-1.5778716782e+02,-2.5135649544e+01,8.5489144885e+00,-1.5778716782e-01,-2.5135649544e-02
3.8775510204e-01,8.5489144885e+03,-1.5727419538e+02,-2.5135649544e+01,8.5489144885e+00,-1.5727419538e-01,-2.5135649544e-02
4.0816326531e-01,8.5489144885e+03,-1.5676122294e+02,-2.5135649544e+01,8.5489144885e+00,-1.5676122294e-01,-2.5135649544e-02
4.2857142857e-01,8.5489144885e+03,-1.5624825050e+02,-2.5135649544e+01,8.5489144885e+00,-1.5624825050e-01,-2.5135649544e-02
4.4897959184e-01,8.5489144885e+03,-1.5573527806e+02,-2.5135649544e+01,8.5489144885e+00,-1.5573527806e-01,-2.5135649544e-02
4.6938775510e-01,8.5489144885e+03,-1.5522230562e+02,-2.5135649544e+01,8.5489144885e+00,-1.5522230562e-01,-2.5135649544e-02
4.8979591837e-01,8.5489144885e+03,-1.5470933318e+02,-2.5135649544e+01,8.5489144885e+00,-1.5470933318e-01,-2.5135649544e-02
5.1020408163e-01,8.5489144885e+03,-1.5419636074e+02,-2.5135649544e+01,8.5489144885e+00,-1.5419636074e-01,-2.5135649544e-02
5.3061224490e-01,8.5489144885e+03,-1.5368338830e+02,-2.5135649544e+01,8.5489144885e+00,-1.5368338830e-01,-2.5135649544e-02
5.5102040816e-01,8.5489144885e+03,-1.5317041586e+02,-2.5135649544e+01,8.5489144885e+00,-1.5317041586e-01,-2.5135649544e-02
5.7142857143e-01,8.5489144885e+03,-1.5265744342e+02,-2.5135649544e+01,8.5489144885e+00,-1.5265744342e-01,-2.5135649544e-02
5.9183673469e-01,8.5489144885e+03,-1.5214447098e+02,-2.5135649544e+01,8.5489144885e+00,-1.5214447098e-01,-2.5135649544e-02
6.1224489796e-01,8.5489144885e+03,-1.5163149854e+02,-2.5135649544e+01,8.5489144885e+00,-1.5163149854e-01,-2.5135649544e-02
6.3265306122e-01,8.5489144885e+03,-1.5111852610e+02,-2.5135649544e+01,8.5489144885e+00,-1.5111852610e-01,-2.5135649544e-02
6.5306122449e-01,8.5489144885e+03,-1.5060555366e+02,-2.5135649544e+01,8.5489144885e+00,-1.5060555366e-01,-2.5135649544e-02
6.7346938776e-01,8.5489144885e+03,-1.5009258122e+02,-2.5135649544e+01,8.5489144885e+00,-1.5009258122e-01,-2.5135649544e-02
6.9387755102e-01,8.5489144885e+03,-1.4957960878e+02,-2.5135649544e+01,8.5489144885e+00,-1.4957960878e-01,-2.5135649544e-02
7.1428571429e-01,8.5489144885e+03,-1.4906663634e+02,-2.5135649544e+01,8.5489144885e+00,-1.4906663634e-01,-2.5135649544e-02
7.3469387755e-01,8.5489144885e+03,-1.4855366390e+02,-2.5135649544e+01,8.5489144885e+00,-1.4855366390e-01,-2.5135649544e-02
7.5510204082e-01,8.5489144885e+03,-1.4804069146e+02,-2.5135649544e+01,8.5489144885e+00,-1.4804069146e-01,-2.5135649544e-02
7.7551020408e-01,8.5489144885e+03,-1.4752771902e+02,-2.5135649544e+01,8.5489144885e+00,-1.4752771902e-01,-2.5135649544e-02
7.9591836735e-01,8.5489144885e+03,-1.4701474658e+02,-2.5135649544e+01,8.5489144885e+00,-1.4701474658e-01,-2.5135649544e-02
8.1632653061e-01,8.5489144885e+03,-1.4650177414e+02,-2.5135649544e+01,8.5489144885e+00,-1.4650177414e-01,-2.5135649544e-02
8.3673469388e-01,8.5489144885e+03,-1.4598880170e+02,-2.5135649544e+01,8.5489144885e+00,-1.4598880170e-01,-2.5135649544e-02
8.5714285714e-01,8.5489144885e+03,-1.4547582926e+02,-2.5135649544e+01,8.5489144885e+00,-1.4547582926e-01,-2.5135649544e-02
8.7755102041e-01,8.5489144885e+03,-1.4496285682e+02,-2.5135649544e+01,8.5489144885e+00,-1.4496285682e-01,-2.5135649544e-02
8.9795918367e-01,8.5489144885e+03,-1.4444988438e+02,-2.5135649544e+01,8.5489144885e+00,-1.4444988438e-01,-2.5135649544e-02
9.1836734694e-01,8.5489144885e+03,-1.4393691194e+02,-2.5135649544e+01,8.5489144885e+00,-1.4393691194e-01,-2.5135649544e-02
9.3877551020e-01,8.5489144885e+03,-1.4342393951e+02,-2.5135649544e+01,8.5489144885e+00,-1.4342393951e-01,-2.5135649544e-02
9.5918367347e-01,8.5489144885e+03,-1.4291096707e+02,-2.5135649544e+01,8.5489144885e+00,-1.4291096707e-01,-2.5135649544e-02
9.7959183673e-01,8.5489144885e+03,-1.4239799463e+02,-2.5135649544e+01,8.5489144885e+00,-1.4239799463e-01,-2.5135649544e-02
1.0000000000e+00,8.5489144885e+03,-1.4188502219e+02,-2.5135649544e+01,8.5489144885e+00,-1.4188502219e-01,-2.5135649544e-02
