x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,1.9635028142e+04,2.7124164146e+02,1.3245316932e+03,1.9635028142e+01,2.7124164146e-01,1.3245316932e+00
1.4430750636e-02,1.9635028142e+04,2.5212765489e+02,1.3245316932e+03,1.9635028142e+01,2.5212765489e-01,1.3245316932e+00
2.8861501273e-02,1.9635028142e+04,2.3301366831e+02,1.3245316932e+03,1.9635028142e+01,2.3301366831e-01,1.3245316932e+00
4.3292251909e-02,1.9635028142e+04,2.1389968174e+02,1.3245316932e+03,1.9635028142e+01,2.1389968174e-01,1.3245316932e+00
5.7723002546e-02,1.9635028142e+04,1.9478569517e+02,1.3245316932e+03,1.9635028142e+01,1.9478569517e-01,1.3245316932e+00
7.2153753182e-02,1.9635028142e+04,1.7567170859e+02,1.3245316932e+03,1.9635028142e+01,1.7567170859e-01,1.3245316932e+00
8.6584503819e-02,1.9635028142e+04,1.5655772202e+02,1.3245316932e+03,1.9635028142e+01,1.5655772202e-01,1.3245316932e+00
1.0101525446e-01,1.9635028142e+04,1.3744373544e+02,1.3245316932e+03,1.9635028142e+01,1.3744373544e-01,1.3245316932e+00
1.1544600509e-01,1.9635028142e+04,1.1832974887e+02,1.3245316932e+03,1.9635028142e+01,1.1832974887e-01,1.3245316932e+00
1.2987675573e-01,1.9635028142e+04,9.9215762293e+01,1.3245316932e+03,1.9635028142e+01,9.9215762293e-02,1.3245316932e+00
1.4430750636e-01,1.9635028142e+04,8.0101775718e+01,1.3245316932e+03,1.9635028142e+01,8.0101775718e-02,1.3245316932e+00
1.5873825700e-01,1.9635028142e+04,6.0987789143e+01,1.3245316932e+03,1.9635028142e+01,6.0987789143e-02,1.3245316932e+00
1.7316900764e-01,1.9635028142e+04,4.1873802569e+01,1.3245316932e+03,1.9635028142e+01,4.1873802569e-02,1.3245316932e+00
1.8759975827e-01,1.9635028142e+04,2.2759815994e+01,1.3245316932e+03,1.9635028142e+01,2.2759815994e-02,1.3245316932e+00
2.0203050891e-01,1.9635028142e+04,3.6458294197e+00,1.3245316932e+03,1.9635028142e+01,3.6458294197e-03,1.3245316932e+00
2.1646125955e-01,1.9635028142e+04,-1.5468157155e+01,1.3245316932e+03,1.9635028142e+01,-1.5468157155e-02,1.3245316932e+00
2.3089201018e-01,1.9635028142e+04,-3.4582143730e+01,1.3245316932e+03,1.9635028142e+01,-3.4582143730e-02,1.3245316932e+00
2.4532276082e-01,1.9635028142e+04,-5.3696130304e+01,1.3245316932e+03,1.9635028142e+01,-5.3696130304e-02,1.3245316932e+00
2.5975351146e-01,1.9635028142e+04,-7.2810116879e+01,1.3245316932e+03,1.9635028142e+01,-7.2810116879e-02,1.3245316932e+00
2.7418426209e-01,1.9635028142e+04,-9.1924103453e+01,1.3245316932e+03,1.9635028142e+01,-9.1924103453e-02,1.3245316932e+00
