x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,-2.9934575977e+03,2.7910790793e+02,2.4025534844e+02,-2.9934575977e+00,2.7910790793e-01,2.4025534844e-01
2.0408163265e-02,-2.9934575977e+03,2.7420473755e+02,2.4025534844e+02,-2.9934575977e+00,2.7420473755e-01,2.4025534844e-01
4.0816326531e-02,-2.9934575977e+03,2.6930156717e+02,2.4025534844e+02,-2.9934575977e+00,2.6930156717e-01,2.4025534844e-01
6.1224489796e-02,-2.9934575977e+03,2.6439839680e+02,2.4025534844e+02,-2.9934575977e+00,2.6439839680e-01,2.4025534844e-01
8.1632653061e-02,-2.9934575977e+03,2.5949522642e+02,2.4025534844e+02,-2.9934575977e+00,2.5949522642e-01,2.4025534844e-01
1.0204081633e-01,-2.9934575977e+03,2.5459205605e+02,2.4025534844e+02,-2.9934575977e+00,2.5459205605e-01,2.4025534844e-01
1.2244897959e-01,-2.9934575977e+03,2.4968888567e+02,2.4025534844e+02,-2.9934575977e+00,2.4968888567e-01,2.4025534844e-01
1.4285714286e-01,-2.9934575977e+03,2.4478571529e+02,2.4025534844e+02,-2.9934575977e+00,2.4478571529e-01,2.4025534844e-01
1.6326530612e-01,-2.9934575977e+03,2.3988254492e+02,2.4025534844e+02,-2.9934575977e+00,2.3988254492e-01,2.4025534844e-01
1.8367346939e-01,-2.9934575977e+03,2.3497937454e+02,2.4025534844e+02,-2.9934575977e+00,2.3497937454e-01,2.4025534844e-01
2.0408163265e-01,-2.9934575977e+03,2.3007620416e+02,2.4025534844e+02,-2.9934575977e+00,2.3007620416e-01,2.4025534844e-01
2.2448979592e-01,-2.9934575977e+03,2.2517303379e+02,2.4025534844e+02,-2.9934575977e+00,2.2517303379e-01,2.4025534844e-01
2.4489795918e-01,-2.9934575977e+03,2.2026986341e+02,2.4025534844e+02,-2.9934575977e+00,2.2026986341e-01,2.4025534844e-01
2.6530612245e-01,-2.9934575977e+03,2.1536669304e+02,2.4025534844e+02,-2.9934575977e+00,2.1536669304e-01,2.4025534844e-01
2.8571428571e-01,-2.9934575977e+03,2.1046352266e+02,2.4025534844e+02,-2.9934575977e+00,2.1046352266e-01,2.4025534844e-01
3.0612244898e-01,-2.9934575977e+03,2.0556035228e+02,2.4025534844e+02,-2.9934575977e+00,2.0556035228e-01,2.4025534844e-01
