x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,-1.4066557484e+04,2.2492865855e+02,-1.0550631989e+01,-1.4066557484e+01,2.2492865855e-01,-1.0550631989e-02
1.4430750636e-02,-1.4066557484e+04,2.2508091209e+02,-1.0550631989e+01,-1.4066557484e+01,2.2508091209e-01,-1.0550631989e-02
2.8861501273e-02,-1.4066557484e+04,2.2523316563e+02,-1.0550631989e+01,-1.4066557484e+01,2.2523316563e-01,-1.0550631989e-02
4.3292251909e-02,-1.4066557484e+04,2.2538541917e+02,-1.0550631989e+01,-1.4066557484e+01,2.2538541917e-01,-1.0550631989e-02
5.7723002546e-02,-1.4066557484e+04,2.2553767271e+02,-1.0550631989e+01,-1.4066557484e+01,2.2553767271e-01,-1.0550631989e-02
7.2153753182e-02,-1.4066557484e+04,2.2568992625e+02,-1.0550631989e+01,-1.4066557484e+01,2.2568992625e-01,-1.0550631989e-02
8.6584503819e-02,-1.4066557484e+04,2.2584217979e+02,-1.0550631989e+01,-1.4066557484e+01,2.2584217979e-01,-1.0550631989e-02
1.0101525446e-01,-1.4066557484e+04,2.2599443332e+02,-1.0550631989e+01,-1.4066557484e+01,2.2599443332e-01,-1.0550631989e-02
1.1544600509e-01,-1.4066557484e+04,2.2614668686e+02,-1.0550631989e+01,-1.4066557484e+01,2.2614668686e-01,-1.0550631989e-02
1.2987675573e-01,-1.4066557484e+04,2.2629894040e+02,-1.0550631989e+01,-1.4066557484e+01,2.2629894040e-01,-1.0550631989e-02
1.4430750636e-01,-1.4066557484e+04,2.2645119394e+02,-1.0550631989e+01,-1.4066557484e+01,2.2645119394e-01,-1.0550631989e-02
1.5873825700e-01,-1.4066557484e+04,2.2660344748e+02,-1.0550631989e+01,-1.4066557484e+01,2.2660344748e-01,-1.0550631989e-02
1.7316900764e-01,-1.4066557484e+04,2.2675570102e+02,-1.0550631989e+01,-1.4066557484e+01,2.2675570102e-01,-1.0550631989e-02
1.8759975827e-01,-1.4066557484e+04,2.2690795456e+02,-1.0550631989e+01,-1.4066557484e+01,2.2690795456e-01,-1.0550631989e-02
2.0203050891e-01,-1.4066557484e+04,2.2706020810e+02,-1.0550631989e+01,-1.4066557484e+01,2.2706020810e-01,-1.0550631989e-02
2.1646125955e-01,-1.4066557484e+04,2.2721246164e+02,-1.0550631989e+01,-1.4066557484e+01,2.2721246164e-01,-1.0550631989e-02
2.3089201018e-01,-1.4066557484e+04,2.2736471518e+02,-1.0550631989e+01,-1.4066557484e+01,2.2736471518e-01,-1.0550631989e-02
2.4532276082e-01,-1.4066557484e+04,2.2751696872e+02,-1.0550631989e+01,-1.4066557484e+01,2.2751696872e-01,-1.0550631989e-02
2.5975351146e-01,-1.4066557484e+04,2.2766922226e+02,-1.0550631989e+01,-1.4066557484e+01,2.2766922226e-01,-1.0550631989e-02
2.7418426209e-01,-1.4066557484e+04,2.2782147580e+02,-1.0550631989e+01,-1.4066557484e+01,2.2782147580e-01,-1.0550631989e-02
2.8861501273e-01,-1.4066557484e+04,2.2797372934e+02,-1.0550631989e+01,-1.4066557484e+01,2.2797372934e-01,-1.0550631989e-02
3.0304576337e-01,-1.4066557484e+04,2.2812598287e+02,-1.0550631989e+01,-1.4066557484e+01,2.2812598287e-01,-1.0550631989e-02
3.1747651400e-01,-1.4066557484e+04,2.2827823641e+02,-1.0550631989e+01,-1.4066557484e+01,2.2827823641e-01,-1.0550631989e-02
3.3190726464e-01,-1.4066557484e+04,2.2843048995e+02,-1.0550631989e+01,-1.4066557484e+01,2.2843048995e-01,-1.0550631989e-02
3.4633801528e-01,-1.4066557484e+04,2.2858274349e+02,-1.0550631989e+01,-1.4066557484e+01,2.2858274349e-01,-1.0550631989e-02
3.6076876591e-01,-1.4066557484e+04,2.2873499703e+02,-1.0550631989e+01,-1.4066557484e+01,2.2873499703e-01,-1.0550631989e-02
3.7519951655e-01,-1.4066557484e+04,2.2888725057e+02,-1.0550631989e+01,-1.4066557484e+01,2.2888725057e-01,-1.0550631989e-02
3.8963026718e-01,-1.4066557484e+04,2.2903950411e+02,-1.0550631989e+01,-1.4066557484e+01,2.2903950411e-01,-1.0550631989e-02
4.0406101782e-01,-1.4066557484e+04,2.2919175765e+02,-1.0550631989e+01,-1.4066557484e+01,2.2919175765e-01,-1.0550631989e-02
4.1849176846e-01,-1.4066557484e+04,2.2934401119e+02,-1.0550631989e+01,-1.4066557484e+01,2.2934401119e-01,-1.0550631989e-02
4.3292251909e-01,-1.4066557484e+04,2.2949626473e+02,-1.0550631989e+01,-1.4066557484e+01,2.2949626473e-01,-1.0550631989e-02
4.4735326973e-01,-1.4066557484e+04,2.2964851827e+02,-1.0550631989e+01,-1.4066557484e+01,2.2964851827e-01,-1.0550631989e-02
4.6178402037e-01,-1.4066557484e+04,2.2980077181e+02,-1.0550631989e+01,-1.4066557484e+01,2.2980077181e-01,-1.0550631989e-02
4.7621477100e-01,-1.4066557484e+04,2.2995302535e+02,-1.0550631989e+01,-1.4066557484e+01,2.2995302535e-01,-1.0550631989e-02
4.9064552164e-01,-1.4066557484e+04,2.3010527889e+02,-1.0550631989e+01,-1.4066557484e+01,2.3010527889e-01,-1.0550631989e-02
5.0507627228e-01,-1.4066557484e+04,2.3025753242e+02,-1.0550631989e+01,-1.4066557484e+01,2.3025753242e-01,-1.0550631989e-02
5.1950702291e-01,-1.4066557484e+04,2.3040978596e+02,-1.0550631989e+01,-1.4066557484e+01,2.3040978596e-01,-1.0550631989e-02
5.3393777355e-01,-1.4066557484e+04,2.3056203950e+02,-1.0550631989e+01,-1.4066557484e+01,2.3056203950e-01,-1.0550631989e-02
