x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,-1.3098289630e+04,-1.4188502219e+02,-1.0082988170e+03,-1.3098289630e+01,-1.4188502219e-01,-1.0082988170e+00
1.4430750636e-02,-1.3098289630e+04,-1.2733451339e+02,-1.0082988170e+03,-1.3098289630e+01,-1.2733451339e-01,-1.0082988170e+00
2.8861501273e-02,-1.3098289630e+04,-1.1278400459e+02,-1.0082988170e+03,-1.3098289630e+01,-1.1278400459e-01,-1.0082988170e+00
4.3292251909e-02,-1.3098289630e+04,-9.8233495798e+01,-1.0082988170e+03,-1.3098289630e+01,-9.8233495798e-02,-1.0082988170e+00
5.7723002546e-02,-1.3098289630e+04,-8.3682987003e+01,-1.0082988170e+03,-1.3098289630e+01,-8.3682987003e-02,-1.0082988170e+00
7.2153753182e-02,-1.3098289630e+04,-6.9132478207e+01,-1.0082988170e+03,-1.3098289630e+01,-6.9132478207e-02,-1.0082988170e+00
8.6584503819e-02,-1.3098289630e+04,-5.4581969411e+01,-1.0082988170e+03,-1.3098289630e+01,-5.4581969411e-02,-1.0082988170e+00
1.0101525446e-01,-1.3098289630e+04,-4.0031460615e+01,-1.0082988170e+03,-1.3098289630e+01,-4.0031460615e-02,-1.0082988170e+00
1.1544600509e-01,-1.3098289630e+04,-2.5480951819e+01,-1.0082988170e+03,-1.3098289630e+01,-2.5480951819e-02,-1.0082988170e+00
1.2987675573e-01,-1.3098289630e+04,-1.0930443023e+01,-1.0082988170e+03,-1.3098289630e+01,-1.0930443023e-02,-1.0082988170e+00
1.4430750636e-01,-1.3098289630e+04,3.6200657727e+00,-1.0082988170e+03,-1.3098289630e+01,3.6200657727e-03,-1.0082988170e+00
1.5873825700e-01,-1.3098289630e+04,1.8170574569e+01,-1.0082988170e+03,-1.3098289630e+01,1.8170574569e-02,-1.0082988170e+00
1.7316900764e-01,-1.3098289630e+04,3.2721083364e+01,-1.0082988170e+03,-1.3098289630e+01,3.2721083364e-02,-1.0082988170e+00
1.8759975827e-01,-1.3098289630e+04,4.7271592160e+01,-1.0082988170e+03,-1.3098289630e+01,4.7271592160e-02,-1.0082988170e+00
