x_local_mm,N_kN,V_kN,M_kNmm
0.0000000000e+00,2.3999908601e+01,2.4160798110e-03,4.7512623195e+00
6.1224489796e+01,2.3999908601e+01,2.4160798110e-03,4.6033390658e+00
1.2244897959e+02,2.3999908601e+01,2.4160798110e-03,4.4554158121e+00
1.8367346939e+02,2.3999908601e+01,2.4160798110e-03,4.3074925583e+00
2.4489795918e+02,2.3999908601e+01,2.4160798110e-03,4.1595693046e+00
3.0612244898e+02,2.3999908601e+01,2.4160798110e-03,4.0116460509e+00
3.6734693878e+02,2.3999908601e+01,2.4160798110e-03,3.8637227971e+00
4.2857142857e+02,2.3999908601e+01,2.4160798110e-03,3.7157995434e+00
4.8979591837e+02,2.3999908601e+01,2.4160798110e-03,3.5678762897e+00
5.5102040816e+02,2.3999908601e+01,2.4160798110e-03,3.4199530359e+00
6.1224489796e+02,2.3999908601e+01,2.4160798110e-03,3.2720297822e+00
6.7346938776e+02,2.3999908601e+01,2.4160798110e-03,3.1241065285e+00
7.3469387755e+02,2.3999908601e+01,2.4160798110e-03,2.9761832748e+00
7.9591836735e+02,2.3999908601e+01,2.4160798110e-03,2.8282600210e+00
8.5714285714e+02,2.3999908601e+01,2.4160798110e-03,2.6803367673e+00
9.1836734694e+02,2.3999908601e+01,2.4160798110e-03,2.5324135136e+00
9.7959183673e+02,2.3999908601e+01,2.4160798110e-03,2.3844902598e+00
1.0408163265e+03,2.3999908601e+01,2.4160798110e-03,2.2365670061e+00
1.1020408163e+03,2.3999908601e+01,2.4160798110e-03,2.0886437524e+00
1.1632653061e+03,2.3999908601e+01,2.4160798110e-03,1.9407204986e+00
1.2244897959e+03,2.3999908601e+01,2.4160798110e-03,1.7927972449e+00
1.2857142857e+03,2.3999908601e+01,2.4160798110e-03,1.6448739912e+00
1.3469387755e+03,2.3999908601e+01,2.4160798110e-03,1.4969507374e+00
1.4081632653e+03,2.3999908601e+01,2.4160798110e-03,1.3490274837e+00
1.4693877551e+03,2.3999908601e+01,2.4160798110e-03,1.2011042300e+00
1.5306122449e+03,2.3999908601e+01,2.4160798110e-03,1.0531809762e+00
1.5918367347e+03,2.3999908601e+01,2.4160798110e-03,9.0525772251e-01
1.6530612245e+03,2.3999908601e+01,2.4160798110e-03,7.5733446877e-01
1.7142857143e+03,2.3999908601e+01,2.4160798110e-03,6.0941121504e-01
1.7755102041e+03,2.3999908601e+01,2.4160798110e-03,4.6148796131e-01
1.8367346939e+03,2.3999908601e+01,2.4160798110e-03,3.1356470758e-01
1.8979591837e+03,2.3999908601e+01,2.4160798110e-03,1.6564145385e-01
1.9591836735e+03,2.3999908601e+01,2.4160798110e-03,1.7718200113e-02
2.0204081633e+03,2.3999908601e+01,2.4160798110e-03,-1.3020505362e-01
2.0816326531e+03,2.3999908601e+01,2.4160798110e-03,-2.7812830735e-01
2.1428571429e+03,2.3999908601e+01,2.4160798110e-03,-4.2605156108e-01
2.2040816327e+03,2.3999908601e+01,2.4160798110e-03,-5.7397481481e-01
2.2653061224e+03,2.3999908601e+01,2.4160798110e-03,-7.2189806855e-01
2.3265306122e+03,2.3999908601e+01,2.4160798110e-03,-8.6982132228e-01
2.3877551020e+03,2.3999908601e+01,2.4160798110e-03,-1.0177445760e+00
2.4489795918e+03,2.3999908601e+01,2.4160798110e-03,-1.1656678297e+00
2.5102040816e+03,2.3999908601e+01,2.4160798110e-03,-1.3135910835e+00
2.5714285714e+03,2.3999908601e+01,2.4160798110e-03,-1.4615143372e+00
2.6326530612e+03,2.3999908601e+01,2.4160798110e-03,-1.6094375909e+00
2.6938775510e+03,2.3999908601e+01,2.4160798110e-03,-1.7573608447e+00
2.7551020408e+03,2.3999908601e+01,2.4160798110e-03,-1.9052840984e+00
2.8163265306e+03,2.3999908601e+01,2.4160798110e-03,-2.0532073521e+00
2.8775510204e+03,2.3999908601e+01,2.4160798110e-03,-2.2011306059e+00
2.9387755102e+03,2.3999908601e+01,2.4160798110e-03,-2.3490538596e+00
3.0000000000e+03,2.3999908601e+01,2.4160798110e-03,-2.4969771133e+00
