x_local_mm,N_kN,V_kN,M_kNmm
0.0000000000e+00,-4.6645496363e+01,1.1646885781e-03,2.4969771133e+00
5.9499509131e+01,-4.6645496363e+01,1.1646885781e-03,2.4276787146e+00
1.1899901826e+02,-4.6645496363e+01,1.1646885781e-03,2.3583803160e+00
1.7849852739e+02,-4.6645496363e+01,1.1646885781e-03,2.2890819173e+00
2.3799803652e+02,-4.6645496363e+01,1.1646885781e-03,2.2197835186e+00
2.9749754566e+02,-4.6645496363e+01,1.1646885781e-03,2.1504851199e+00
3.5699705479e+02,-4.6645496363e+01,1.1646885781e-03,2.0811867212e+00
4.1649656392e+02,-4.6645496363e+01,1.1646885781e-03,2.0118883225e+00
4.7599607305e+02,-4.6645496363e+01,1.1646885781e-03,1.9425899238e+00
5.3549558218e+02,-4.6645496363e+01,1.1646885781e-03,1.8732915251e+00
5.9499509131e+02,-4.6645496363e+01,1.1646885781e-03,1.8039931265e+00
6.5449460044e+02,-4.6645496363e+01,1.1646885781e-03,1.7346947278e+00
7.1399410957e+02,-4.6645496363e+01,1.1646885781e-03,1.6653963291e+00
7.7349361870e+02,-4.6645496363e+01,1.1646885781e-03,1.5960979304e+00
8.3299312784e+02,-4.6645496363e+01,1.1646885781e-03,1.5267995317e+00
8.9249263697e+02,-4.6645496363e+01,1.1646885781e-03,1.4575011330e+00
9.5199214610e+02,-4.6645496363e+01,1.1646885781e-03,1.3882027343e+00
1.0114916552e+03,-4.6645496363e+01,1.1646885781e-03,1.3189043357e+00
1.0709911644e+03,-4.6645496363e+01,1.1646885781e-03,1.2496059370e+00
1.1304906735e+03,-4.6645496363e+01,1.1646885781e-03,1.1803075383e+00
1.1899901826e+03,-4.6645496363e+01,1.1646885781e-03,1.1110091396e+00
1.2494896918e+03,-4.6645496363e+01,1.1646885781e-03,1.0417107409e+00
1.3089892009e+03,-4.6645496363e+01,1.1646885781e-03,9.7241234222e-01
1.3684887100e+03,-4.6645496363e+01,1.1646885781e-03,9.0311394354e-01
1.4279882191e+03,-4.6645496363e+01,1.1646885781e-03,8.3381554485e-01
1.4874877283e+03,-4.6645496363e+01,1.1646885781e-03,7.6451714616e-01
1.5469872374e+03,-4.6645496363e+01,1.1646885781e-03,6.9521874748e-01
1.6064867465e+03,-4.6645496363e+01,1.1646885781e-03,6.2592034879e-01
1.6659862557e+03,-4.6645496363e+01,1.1646885781e-03,5.5662195010e-01
1.7254857648e+03,-4.6645496363e+01,1.1646885781e-03,4.8732355142e-01
1.7849852739e+03,-4.6645496363e+01,1.1646885781e-03,4.1802515273e-01
1.8444847831e+03,-4.6645496363e+01,1.1646885781e-03,3.4872675404e-01
1.9039842922e+03,-4.6645496363e+01,1.1646885781e-03,2.7942835536e-01
1.9634838013e+03,-4.6645496363e+01,1.1646885781e-03,2.1012995667e-01
2.0229833105e+03,-4.6645496363e+01,1.1646885781e-03,1.4083155798e-01
2.0824828196e+03,-4.6645496363e+01,1.1646885781e-03,7.1533159297e-02
2.1419823287e+03,-4.6645496363e+01,1.1646885781e-03,2.2347606102e-03
2.2014818378e+03,-4.6645496363e+01,1.1646885781e-03,-6.7063638076e-02
2.2609813470e+03,-4.6645496363e+01,1.1646885781e-03,-1.3636203676e-01
2.3204808561e+03,-4.6645496363e+01,1.1646885781e-03,-2.0566043545e-01
2.3799803652e+03,-4.6645496363e+01,1.1646885781e-03,-2.7495883414e-01
2.4394798744e+03,-4.6645496363e+01,1.1646885781e-03,-3.4425723282e-01
2.4989793835e+03,-4.6645496363e+01,1.1646885781e-03,-4.1355563151e-01
2.5584788926e+03,-4.6645496363e+01,1.1646885781e-03,-4.8285403020e-01
2.6179784018e+03,-4.6645496363e+01,1.1646885781e-03,-5.5215242888e-01
2.6774779109e+03,-4.6645496363e+01,1.1646885781e-03,-6.2145082757e-01
2.7369774200e+03,-4.6645496363e+01,1.1646885781e-03,-6.9074922626e-01
2.7964769292e+03,-4.6645496363e+01,1.1646885781e-03,-7.6004762494e-01
2.8559764383e+03,-4.6645496363e+01,1.1646885781e-03,-8.2934602363e-01
2.9154759474e+03,-4.6645496363e+01,1.1646885781e-03,-8.9864442232e-01
