x_local_mm,N_kN,V_kN,M_kNmm
0.0000000000e+00,1.6597762319e-03,-1.0316159639e-03,-3.4405339186e-01
5.9499509131e+01,1.6597762319e-03,-1.0316159639e-03,-2.8267274840e-01
1.1899901826e+02,1.6597762319e-03,-1.0316159639e-03,-2.2129210493e-01
1.7849852739e+02,1.6597762319e-03,-1.0316159639e-03,-1.5991146147e-01
2.3799803652e+02,1.6597762319e-03,-1.0316159639e-03,-9.8530818005e-02
2.9749754566e+02,1.6597762319e-03,-1.0316159639e-03,-3.7150174541e-02
3.5699705479e+02,1.6597762319e-03,-1.0316159639e-03,2.4230468922e-02
4.1649656392e+02,1.6597762319e-03,-1.0316159639e-03,8.5611112386e-02
4.7599607305e+02,1.6597762319e-03,-1.0316159639e-03,1.4699175585e-01
5.3549558218e+02,1.6597762319e-03,-1.0316159639e-03,2.0837239931e-01
5.9499509131e+02,1.6597762319e-03,-1.0316159639e-03,2.6975304278e-01
6.5449460044e+02,1.6597762319e-03,-1.0316159639e-03,3.3113368624e-01
7.1399410957e+02,1.6597762319e-03,-1.0316159639e-03,3.9251432970e-01
7.7349361870e+02,1.6597762319e-03,-1.0316159639e-03,4.5389497317e-01
8.3299312784e+02,1.6597762319e-03,-1.0316159639e-03,5.1527561663e-01
8.9249263697e+02,1.6597762319e-03,-1.0316159639e-03,5.7665626009e-01
9.5199214610e+02,1.6597762319e-03,-1.0316159639e-03,6.3803690356e-01
1.0114916552e+03,1.6597762319e-03,-1.0316159639e-03,6.9941754702e-01
1.0709911644e+03,1.6597762319e-03,-1.0316159639e-03,7.6079819048e-01
1.1304906735e+03,1.6597762319e-03,-1.0316159639e-03,8.2217883395e-01
1.1899901826e+03,1.6597762319e-03,-1.0316159639e-03,8.8355947741e-01
1.2494896918e+03,1.6597762319e-03,-1.0316159639e-03,9.4494012087e-01
1.3089892009e+03,1.6597762319e-03,-1.0316159639e-03,1.0063207643e+00
1.3684887100e+03,1.6597762319e-03,-1.0316159639e-03,1.0677014078e+00
1.4279882191e+03,1.6597762319e-03,-1.0316159639e-03,1.1290820513e+00
1.4874877283e+03,1.6597762319e-03,-1.0316159639e-03,1.1904626947e+00
1.5469872374e+03,1.6597762319e-03,-1.0316159639e-03,1.2518433382e+00
1.6064867465e+03,1.6597762319e-03,-1.0316159639e-03,1.3132239817e+00
1.6659862557e+03,1.6597762319e-03,-1.0316159639e-03,1.3746046251e+00
1.7254857648e+03,1.6597762319e-03,-1.0316159639e-03,1.4359852686e+00
1.7849852739e+03,1.6597762319e-03,-1.0316159639e-03,1.4973659120e+00
1.8444847831e+03,1.6597762319e-03,-1.0316159639e-03,1.5587465555e+00
1.9039842922e+03,1.6597762319e-03,-1.0316159639e-03,1.6201271990e+00
1.9634838013e+03,1.6597762319e-03,-1.0316159639e-03,1.6815078424e+00
2.0229833105e+03,1.6597762319e-03,-1.0316159639e-03,1.7428884859e+00
2.0824828196e+03,1.6597762319e-03,-1.0316159639e-03,1.8042691294e+00
2.1419823287e+03,1.6597762319e-03,-1.0316159639e-03,1.8656497728e+00
2.2014818378e+03,1.6597762319e-03,-1.0316159639e-03,1.9270304163e+00
2.2609813470e+03,1.6597762319e-03,-1.0316159639e-03,1.9884110598e+00
2.3204808561e+03,1.6597762319e-03,-1.0316159639e-03,2.0497917032e+00
2.3799803652e+03,1.6597762319e-03,-1.0316159639e-03,2.1111723467e+00
2.4394798744e+03,1.6597762319e-03,-1.0316159639e-03,2.1725529901e+00
2.4989793835e+03,1.6597762319e-03,-1.0316159639e-03,2.2339336336e+00
2.5584788926e+03,1.6597762319e-03,-1.0316159639e-03,2.2953142771e+00
2.6179784018e+03,1.6597762319e-03,-1.0316159639e-03,2.3566949205e+00
2.6774779109e+03,1.6597762319e-03,-1.0316159639e-03,2.4180755640e+00
2.7369774200e+03,1.6597762319e-03,-1.0316159639e-03,2.4794562075e+00
2.7964769292e+03,1.6597762319e-03,-1.0316159639e-03,2.5408368509e+00
2.8559764383e+03,1.6597762319e-03,-1.0316159639e-03,2.6022174944e+00
2.9154759474e+03,1.6597762319e-03,-1.0316159639e-03,2.6635981379e+00
