no,ux_mm,uy_mm,theta_rad
1,0.0000000000e+00,0.0000000000e+00,-2.5360186002e-03
2,8.9999657253e-01,-7.7445699984e+00,-1.2679831717e-03
3,2.6999017914e+00,-7.7445699984e+00,1.2679831717e-03
4,3.5998983640e+00,0.0000000000e+00,2.5360186002e-03
5,3.5998532513e+00,-4.1423455462e+00,-1.6622872534e-03
6,1.7999491820e+00,-8.2844710236e+00,-1.8634110864e-19
7,4.5112662478e-05,-4.1423455462e+00,1.6622872534e-03
