x_local_mm,N_kN,V_kN,M_kNmm
0.0000000000e+00,-4.7997441848e+01,-1.9540084117e-03,-1.4534239479e+00
6.1224489796e+01,-4.7997441848e+01,-1.9540084117e-03,-1.3337907798e+00
1.2244897959e+02,-4.7997441848e+01,-1.9540084117e-03,-1.2141576118e+00
1.8367346939e+02,-4.7997441848e+01,-1.9540084117e-03,-1.0945244437e+00
2.4489795918e+02,-4.7997441848e+01,-1.9540084117e-03,-9.7489127566e-01
3.0612244898e+02,-4.7997441848e+01,-1.9540084117e-03,-8.5525810759e-01
3.6734693878e+02,-4.7997441848e+01,-1.9540084117e-03,-7.3562493953e-01
4.2857142857e+02,-4.7997441848e+01,-1.9540084117e-03,-6.1599177147e-01
4.8979591837e+02,-4.7997441848e+01,-1.9540084117e-03,-4.9635860340e-01
5.5102040816e+02,-4.7997441848e+01,-1.9540084117e-03,-3.7672543534e-01
6.1224489796e+02,-4.7997441848e+01,-1.9540084117e-03,-2.5709226728e-01
6.7346938776e+02,-4.7997441848e+01,-1.9540084117e-03,-1.3745909921e-01
7.3469387755e+02,-4.7997441848e+01,-1.9540084117e-03,-1.7825931147e-02
7.9591836735e+02,-4.7997441848e+01,-1.9540084117e-03,1.0180723692e-01
8.5714285714e+02,-4.7997441848e+01,-1.9540084117e-03,2.2144040498e-01
9.1836734694e+02,-4.7997441848e+01,-1.9540084117e-03,3.4107357304e-01
9.7959183673e+02,-4.7997441848e+01,-1.9540084117e-03,4.6070674111e-01
1.0408163265e+03,-4.7997441848e+01,-1.9540084117e-03,5.8033990917e-01
1.1020408163e+03,-4.7997441848e+01,-1.9540084117e-03,6.9997307724e-01
1.1632653061e+03,-4.7997441848e+01,-1.9540084117e-03,8.1960624530e-01
1.2244897959e+03,-4.7997441848e+01,-1.9540084117e-03,9.3923941336e-01
1.2857142857e+03,-4.7997441848e+01,-1.9540084117e-03,1.0588725814e+00
1.3469387755e+03,-4.7997441848e+01,-1.9540084117e-03,1.1785057495e+00
1.4081632653e+03,-4.7997441848e+01,-1.9540084117e-03,1.2981389176e+00
1.4693877551e+03,-4.7997441848e+01,-1.9540084117e-03,1.4177720856e+00
1.5306122449e+03,-4.7997441848e+01,-1.9540084117e-03,1.5374052537e+00
1.5918367347e+03,-4.7997441848e+01,-1.9540084117e-03,1.6570384217e+00
1.6530612245e+03,-4.7997441848e+01,-1.9540084117e-03,1.7766715898e+00
1.7142857143e+03,-4.7997441848e+01,-1.9540084117e-03,1.8963047579e+00
1.7755102041e+03,-4.7997441848e+01,-1.9540084117e-03,2.0159379259e+00
1.8367346939e+03,-4.7997441848e+01,-1.9540084117e-03,2.1355710940e+00
1.8979591837e+03,-4.7997441848e+01,-1.9540084117e-03,2.2552042621e+00
1.9591836735e+03,-4.7997441848e+01,-1.9540084117e-03,2.3748374301e+00
2.0204081633e+03,-4.7997441848e+01,-1.9540084117e-03,2.4944705982e+00
2.0816326531e+03,-4.7997441848e+01,-1.9540084117e-03,2.6141037663e+00
2.1428571429e+03,-4.7997441848e+01,-1.9540084117e-03,2.7337369343e+00
2.2040816327e+03,-4.7997441848e+01,-1.9540084117e-03,2.8533701024e+00
2.2653061224e+03,-4.7997441848e+01,-1.9540084117e-03,2.9730032704e+00
2.3265306122e+03,-4.7997441848e+01,-1.9540084117e-03,3.0926364385e+00
2.3877551020e+03,-4.7997441848e+01,-1.9540084117e-03,3.2122696066e+00
2.4489795918e+03,-4.7997441848e+01,-1.9540084117e-03,3.3319027746e+00
2.5102040816e+03,-4.7997441848e+01,-1.9540084117e-03,3.4515359427e+00
2.5714285714e+03,-4.7997441848e+01,-1.9540084117e-03,3.5711691108e+00
2.6326530612e+03,-4.7997441848e+01,-1.9540084117e-03,3.6908022788e+00
2.6938775510e+03,-4.7997441848e+01,-1.9540084117e-03,3.8104354469e+00
2.7551020408e+03,-4.7997441848e+01,-1.9540084117e-03,3.9300686150e+00
2.8163265306e+03,-4.7997441848e+01,-1.9540084117e-03,4.0497017830e+00
2.8775510204e+03,-4.7997441848e+01,-1.9540084117e-03,4.1693349511e+00
2.9387755102e+03,-4.7997441848e+01,-1.9540084117e-03,4.2889681192e+00
3.0000000000e+03,-4.7997441848e+01,-1.9540084117e-03,4.4086012872e+00
