x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,-7.4993370278e+01,-4.7249083132e+00,-5.8285728774e-03,-4.7249083132e-03
5.1020408163e+01,-7.4993370278e+01,-4.4275321459e+00,-5.8285728774e-03,-4.4275321459e-03
1.0204081633e+02,-7.4993370278e+01,-4.1301559787e+00,-5.8285728774e-03,-4.1301559787e-03
1.5306122449e+02,-7.4993370278e+01,-3.8327798115e+00,-5.8285728774e-03,-3.8327798115e-03
2.0408163265e+02,-7.4993370278e+01,-3.5354036443e+00,-5.8285728774e-03,-3.5354036443e-03
2.5510204082e+02,-7.4993370278e+01,-3.2380274771e+00,-5.8285728774e-03,-3.2380274771e-03
3.0612244898e+02,-7.4993370278e+01,-2.9406513099e+00,-5.8285728774e-03,-2.9406513099e-03
3.5714285714e+02,-7.4993370278e+01,-2.6432751427e+00,-5.8285728774e-03,-2.6432751427e-03
4.0816326531e+02,-7.4993370278e+01,-2.3458989754e+00,-5.8285728774e-03,-2.3458989754e-03
4.5918367347e+02,-7.4993370278e+01,-2.0485228082e+00,-5.8285728774e-03,-2.0485228082e-03
5.1020408163e+02,-7.4993370278e+01,-1.7511466410e+00,-5.8285728774e-03,-1.7511466410e-03
5.6122448980e+02,-7.4993370278e+01,-1.4537704738e+00,-5.8285728774e-03,-1.4537704738e-03
6.1224489796e+02,-7.4993370278e+01,-1.1563943066e+00,-5.8285728774e-03,-1.1563943066e-03
6.6326530612e+02,-7.4993370278e+01,-8.5901813938e-01,-5.8285728774e-03,-8.5901813938e-04
7.1428571429e+02,-7.4993370278e+01,-5.6164197217e-01,-5.8285728774e-03,-5.6164197217e-04
7.6530612245e+02,-7.4993370278e+01,-2.6426580495e-01,-5.8285728774e-03,-2.6426580495e-04
8.1632653061e+02,-7.4993370278e+01,3.3110362260e-02,-5.8285728774e-03,3.3110362260e-05
8.6734693878e+02,-7.4993370278e+01,3.3048652947e-01,-5.8285728774e-03,3.3048652947e-04
9.1836734694e+02,-7.4993370278e+01,6.2786269669e-01,-5.8285728774e-03,6.2786269669e-04
9.6938775510e+02,-7.4993370278e+01,9.2523886390e-01,-5.8285728774e-03,9.2523886390e-04
1.0204081633e+03,-7.4993370278e+01,1.2226150311e+00,-5.8285728774e-03,1.2226150311e-03
1.0714285714e+03,-7.4993370278e+01,1.5199911983e+00,-5.8285728774e-03,1.5199911983e-03
1.1224489796e+03,-7.4993370278e+01,1.8173673655e+00,-5.8285728774e-03,1.8173673655e-03
1.1734693878e+03,-7.4993370278e+01,2.1147435328e+00,-5.8285728774e-03,2.1147435328e-03
1.2244897959e+03,-7.4993370278e+01,2.4121197000e+00,-5.8285728774e-03,2.4121197000e-03
1.2755102041e+03,-7.4993370278e+01,2.7094958672e+00,-5.8285728774e-03,2.7094958672e-03
1.3265306122e+03,-7.4993370278e+01,3.0068720344e+00,-5.8285728774e-03,3.0068720344e-03
1.3775510204e+03,-7.4993370278e+01,3.3042482016e+00,-5.8285728774e-03,3.3042482016e-03
1.4285714286e+03,-7.4993370278e+01,3.6016243688e+00,-5.8285728774e-03,3.6016243688e-03
1.4795918367e+03,-7.4993370278e+01,3.8990005360e+00,-5.8285728774e-03,3.8990005360e-03
1.5306122449e+03,-7.4993370278e+01,4.1963767033e+00,-5.8285728774e-03,4.1963767033e-03
1.5816326531e+03,-7.4993370278e+01,4.4937528705e+00,-5.8285728774e-03,4.4937528705e-03
1.6326530612e+03,-7.4993370278e+01,4.7911290377e+00,-5.8285728774e-03,4.7911290377e-03
1.6836734694e+03,-7.4993370278e+01,5.0885052049e+00,-5.8285728774e-03,5.0885052049e-03
1.7346938776e+03,-7.4993370278e+01,5.3858813721e+00,-5.8285728774e-03,5.3858813721e-03
1.7857142857e+03,-7.4993370278e+01,5.6832575393e+00,-5.8285728774e-03,5.6832575393e-03
1.8367346939e+03,-7.4993370278e+01,5.9806337065e+00,-5.8285728774e-03,5.9806337065e-03
1.8877551020e+03,-7.4993370278e+01,6.2780098737e+00,-5.8285728774e-03,6.2780098737e-03
1.9387755102e+03,-7.4993370278e+01,6.5753860410e+00,-5.8285728774e-03,6.5753860410e-03
1.9897959184e+03,-7.4993370278e+01,6.8727622082e+00,-5.8285728774e-03,6.8727622082e-03
2.0408163265e+03,-7.4993370278e+01,7.1701383754e+00,-5.8285728774e-03,7.1701383754e-03
2.0918367347e+03,-7.4993370278e+01,7.4675145426e+00,-5.8285728774e-03,7.4675145426e-03
2.1428571429e+03,-7.4993370278e+01,7.7648907098e+00,-5.8285728774e-03,7.7648907098e-03
2.1938775510e+03,-7.4993370278e+01,8.0622668770e+00,-5.8285728774e-03,8.0622668770e-03
2.2448979592e+03,-7.4993370278e+01,8.3596430442e+00,-5.8285728774e-03,8.3596430442e-03
2.2959183673e+03,-7.4993370278e+01,8.6570192115e+00,-5.8285728774e-03,8.6570192115e-03
2.3469387755e+03,-7.4993370278e+01,8.9543953787e+00,-5.8285728774e-03,8.9543953787e-03
2.3979591837e+03,-7.4993370278e+01,9.2517715459e+00,-5.8285728774e-03,9.2517715459e-03
2.4489795918e+03,-7.4993370278e+01,9.5491477131e+00,-5.8285728774e-03,9.5491477131e-03
2.5000000000e+03,-7.4993370278e+01,9.8465238803e+00,-5.8285728774e-03,9.8465238803e-03
