x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,-5.0000842024e+01,8.1531379569e+00,4.8477160361e-03,8.1531379569e-03
5.1020408163e+01,-5.0000842024e+01,7.9058055061e+00,4.8477160361e-03,7.9058055061e-03
1.0204081633e+02,-5.0000842024e+01,7.6584730553e+00,4.8477160361e-03,7.6584730553e-03
1.5306122449e+02,-5.0000842024e+01,7.4111406044e+00,4.8477160361e-03,7.4111406044e-03
2.0408163265e+02,-5.0000842024e+01,7.1638081536e+00,4.8477160361e-03,7.1638081536e-03
2.5510204082e+02,-5.0000842024e+01,6.9164757028e+00,4.8477160361e-03,6.9164757028e-03
3.0612244898e+02,-5.0000842024e+01,6.6691432520e+00,4.8477160361e-03,6.6691432520e-03
3.5714285714e+02,-5.0000842024e+01,6.4218108011e+00,4.8477160361e-03,6.4218108011e-03
4.0816326531e+02,-5.0000842024e+01,6.1744783503e+00,4.8477160361e-03,6.1744783503e-03
4.5918367347e+02,-5.0000842024e+01,5.9271458995e+00,4.8477160361e-03,5.9271458995e-03
5.1020408163e+02,-5.0000842024e+01,5.6798134487e+00,4.8477160361e-03,5.6798134487e-03
5.6122448980e+02,-5.0000842024e+01,5.4324809978e+00,4.8477160361e-03,5.4324809978e-03
6.1224489796e+02,-5.0000842024e+01,5.1851485470e+00,4.8477160361e-03,5.1851485470e-03
6.6326530612e+02,-5.0000842024e+01,4.9378160962e+00,4.8477160361e-03,4.9378160962e-03
7.1428571429e+02,-5.0000842024e+01,4.6904836454e+00,4.8477160361e-03,4.6904836454e-03
7.6530612245e+02,-5.0000842024e+01,4.4431511946e+00,4.8477160361e-03,4.4431511946e-03
8.1632653061e+02,-5.0000842024e+01,4.1958187437e+00,4.8477160361e-03,4.1958187437e-03
8.6734693878e+02,-5.0000842024e+01,3.9484862929e+00,4.8477160361e-03,3.9484862929e-03
9.1836734694e+02,-5.0000842024e+01,3.7011538421e+00,4.8477160361e-03,3.7011538421e-03
9.6938775510e+02,-5.0000842024e+01,3.4538213913e+00,4.8477160361e-03,3.4538213913e-03
1.0204081633e+03,-5.0000842024e+01,3.2064889404e+00,4.8477160361e-03,3.2064889404e-03
1.0714285714e+03,-5.0000842024e+01,2.9591564896e+00,4.8477160361e-03,2.9591564896e-03
1.1224489796e+03,-5.0000842024e+01,2.7118240388e+00,4.8477160361e-03,2.7118240388e-03
1.1734693878e+03,-5.0000842024e+01,2.4644915880e+00,4.8477160361e-03,2.4644915880e-03
1.2244897959e+03,-5.0000842024e+01,2.2171591371e+00,4.8477160361e-03,2.2171591371e-03
1.2755102041e+03,-5.0000842024e+01,1.9698266863e+00,4.8477160361e-03,1.9698266863e-03
1.3265306122e+03,-5.0000842024e+01,1.7224942355e+00,4.8477160361e-03,1.7224942355e-03
1.3775510204e+03,-5.0000842024e+01,1.4751617847e+00,4.8477160361e-03,1.4751617847e-03
1.4285714286e+03,-5.0000842024e+01,1.2278293339e+00,4.8477160361e-03,1.2278293339e-03
1.4795918367e+03,-5.0000842024e+01,9.8049688304e-01,4.8477160361e-03,9.8049688304e-04
1.5306122449e+03,-5.0000842024e+01,7.3316443221e-01,4.8477160361e-03,7.3316443221e-04
1.5816326531e+03,-5.0000842024e+01,4.8583198139e-01,4.8477160361e-03,4.8583198139e-04
1.6326530612e+03,-5.0000842024e+01,2.3849953057e-01,4.8477160361e-03,2.3849953057e-04
1.6836734694e+03,-5.0000842024e+01,-8.8329202565e-03,4.8477160361e-03,-8.8329202565e-06
1.7346938776e+03,-5.0000842024e+01,-2.5616537108e-01,4.8477160361e-03,-2.5616537108e-04
1.7857142857e+03,-5.0000842024e+01,-5.0349782190e-01,4.8477160361e-03,-5.0349782190e-04
1.8367346939e+03,-5.0000842024e+01,-7.5083027273e-01,4.8477160361e-03,-7.5083027273e-04
1.8877551020e+03,-5.0000842024e+01,-9.9816272355e-01,4.8477160361e-03,-9.9816272355e-04
1.9387755102e+03,-5.0000842024e+01,-1.2454951744e+00,4.8477160361e-03,-1.2454951744e-03
1.9897959184e+03,-5.0000842024e+01,-1.4928276252e+00,4.8477160361e-03,-1.4928276252e-03
2.0408163265e+03,-5.0000842024e+01,-1.7401600760e+00,4.8477160361e-03,-1.7401600760e-03
2.0918367347e+03,-5.0000842024e+01,-1.9874925268e+00,4.8477160361e-03,-1.9874925268e-03
2.1428571429e+03,-5.0000842024e+01,-2.2348249777e+00,4.8477160361e-03,-2.2348249777e-03
2.1938775510e+03,-5.0000842024e+01,-2.4821574285e+00,4.8477160361e-03,-2.4821574285e-03
2.2448979592e+03,-5.0000842024e+01,-2.7294898793e+00,4.8477160361e-03,-2.7294898793e-03
2.2959183673e+03,-5.0000842024e+01,-2.9768223301e+00,4.8477160361e-03,-2.9768223301e-03
2.3469387755e+03,-5.0000842024e+01,-3.2241547810e+00,4.8477160361e-03,-3.2241547810e-03
2.3979591837e+03,-5.0000842024e+01,-3.4714872318e+00,4.8477160361e-03,-3.4714872318e-03
2.4489795918e+03,-5.0000842024e+01,-3.7188196826e+00,4.8477160361e-03,-3.7188196826e-03
2.5000000000e+03,-5.0000842024e+01,-3.9661521334e+00,4.8477160361e-03,-3.9661521334e-03
