x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,2.4991149963e+01,-5.2604732526e+00,-3.9313454285e-03,-5.2604732526e-03
5.1020408163e+01,2.4991149963e+01,-5.0598944042e+00,-3.9313454285e-03,-5.0598944042e-03
1.0204081633e+02,2.4991149963e+01,-4.8593155558e+00,-3.9313454285e-03,-4.8593155558e-03
1.5306122449e+02,2.4991149963e+01,-4.6587367074e+00,-3.9313454285e-03,-4.6587367074e-03
2.0408163265e+02,2.4991149963e+01,-4.4581578591e+00,-3.9313454285e-03,-4.4581578591e-03
2.5510204082e+02,2.4991149963e+01,-4.2575790107e+00,-3.9313454285e-03,-4.2575790107e-03
3.0612244898e+02,2.4991149963e+01,-4.0570001623e+00,-3.9313454285e-03,-4.0570001623e-03
3.5714285714e+02,2.4991149963e+01,-3.8564213139e+00,-3.9313454285e-03,-3.8564213139e-03
4.0816326531e+02,2.4991149963e+01,-3.6558424655e+00,-3.9313454285e-03,-3.6558424655e-03
4.5918367347e+02,2.4991149963e+01,-3.4552636171e+00,-3.9313454285e-03,-3.4552636171e-03
5.1020408163e+02,2.4991149963e+01,-3.2546847687e+00,-3.9313454285e-03,-3.2546847687e-03
5.6122448980e+02,2.4991149963e+01,-3.0541059203e+00,-3.9313454285e-03,-3.0541059203e-03
6.1224489796e+02,2.4991149963e+01,-2.8535270719e+00,-3.9313454285e-03,-2.8535270719e-03
6.6326530612e+02,2.4991149963e+01,-2.6529482235e+00,-3.9313454285e-03,-2.6529482235e-03
7.1428571429e+02,2.4991149963e+01,-2.4523693751e+00,-3.9313454285e-03,-2.4523693751e-03
7.6530612245e+02,2.4991149963e+01,-2.2517905267e+00,-3.9313454285e-03,-2.2517905267e-03
8.1632653061e+02,2.4991149963e+01,-2.0512116783e+00,-3.9313454285e-03,-2.0512116783e-03
8.6734693878e+02,2.4991149963e+01,-1.8506328299e+00,-3.9313454285e-03,-1.8506328299e-03
9.1836734694e+02,2.4991149963e+01,-1.6500539815e+00,-3.9313454285e-03,-1.6500539815e-03
9.6938775510e+02,2.4991149963e+01,-1.4494751331e+00,-3.9313454285e-03,-1.4494751331e-03
1.0204081633e+03,2.4991149963e+01,-1.2488962847e+00,-3.9313454285e-03,-1.2488962847e-03
1.0714285714e+03,2.4991149963e+01,-1.0483174363e+00,-3.9313454285e-03,-1.0483174363e-03
1.1224489796e+03,2.4991149963e+01,-8.4773858794e-01,-3.9313454285e-03,-8.4773858794e-04
1.1734693878e+03,2.4991149963e+01,-6.4715973954e-01,-3.9313454285e-03,-6.4715973954e-04
1.2244897959e+03,2.4991149963e+01,-4.4658089115e-01,-3.9313454285e-03,-4.4658089115e-04
1.2755102041e+03,2.4991149963e+01,-2.4600204275e-01,-3.9313454285e-03,-2.4600204275e-04
1.3265306122e+03,2.4991149963e+01,-4.5423194357e-02,-3.9313454285e-03,-4.5423194357e-05
1.3775510204e+03,2.4991149963e+01,1.5515565404e-01,-3.9313454285e-03,1.5515565404e-04
1.4285714286e+03,2.4991149963e+01,3.5573450243e-01,-3.9313454285e-03,3.5573450243e-04
1.4795918367e+03,2.4991149963e+01,5.5631335083e-01,-3.9313454285e-03,5.5631335083e-04
1.5306122449e+03,2.4991149963e+01,7.5689219922e-01,-3.9313454285e-03,7.5689219922e-04
1.5816326531e+03,2.4991149963e+01,9.5747104762e-01,-3.9313454285e-03,9.5747104762e-04
1.6326530612e+03,2.4991149963e+01,1.1580498960e+00,-3.9313454285e-03,1.1580498960e-03
1.6836734694e+03,2.4991149963e+01,1.3586287444e+00,-3.9313454285e-03,1.3586287444e-03
1.7346938776e+03,2.4991149963e+01,1.5592075928e+00,-3.9313454285e-03,1.5592075928e-03
1.7857142857e+03,2.4991149963e+01,1.7597864412e+00,-3.9313454285e-03,1.7597864412e-03
1.8367346939e+03,2.4991149963e+01,1.9603652896e+00,-3.9313454285e-03,1.9603652896e-03
1.8877551020e+03,2.4991149963e+01,2.1609441380e+00,-3.9313454285e-03,2.1609441380e-03
1.9387755102e+03,2.4991149963e+01,2.3615229864e+00,-3.9313454285e-03,2.3615229864e-03
1.9897959184e+03,2.4991149963e+01,2.5621018348e+00,-3.9313454285e-03,2.5621018348e-03
2.0408163265e+03,2.4991149963e+01,2.7626806832e+00,-3.9313454285e-03,2.7626806832e-03
2.0918367347e+03,2.4991149963e+01,2.9632595316e+00,-3.9313454285e-03,2.9632595316e-03
2.1428571429e+03,2.4991149963e+01,3.1638383800e+00,-3.9313454285e-03,3.1638383800e-03
2.1938775510e+03,2.4991149963e+01,3.3644172284e+00,-3.9313454285e-03,3.3644172284e-03
2.2448979592e+03,2.4991149963e+01,3.5649960768e+00,-3.9313454285e-03,3.5649960768e-03
2.2959183673e+03,2.4991149963e+01,3.7655749252e+00,-3.9313454285e-03,3.7655749252e-03
2.3469387755e+03,2.4991149963e+01,3.9661537735e+00,-3.9313454285e-03,3.9661537735e-03
2.3979591837e+03,2.4991149963e+01,4.1667326219e+00,-3.9313454285e-03,4.1667326219e-03
2.4489795918e+03,2.4991149963e+01,4.3673114703e+00,-3.9313454285e-03,4.3673114703e-03
2.5000000000e+03,2.4991149963e+01,4.5678903187e+00,-3.9313454285e-03,4.5678903187e-03
