x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,-7.0706715674e+01,2.0286324758e+00,3.0017679731e-04,2.0286324758e-03
7.2153753182e+01,-7.0706715674e+01,2.0069735933e+00,3.0017679731e-04,2.0069735933e-03
1.4430750636e+02,-7.0706715674e+01,1.9853147107e+00,3.0017679731e-04,1.9853147107e-03
2.1646125955e+02,-7.0706715674e+01,1.9636558282e+00,3.0017679731e-04,1.9636558282e-03
2.8861501273e+02,-7.0706715674e+01,1.9419969456e+00,3.0017679731e-04,1.9419969456e-03
3.6076876591e+02,-7.0706715674e+01,1.9203380631e+00,3.0017679731e-04,1.9203380631e-03
4.3292251909e+02,-7.0706715674e+01,1.8986791806e+00,3.0017679731e-04,1.8986791806e-03
5.0507627228e+02,-7.0706715674e+01,1.8770202980e+00,3.0017679731e-04,1.8770202980e-03
5.7723002546e+02,-7.0706715674e+01,1.8553614155e+00,3.0017679731e-04,1.8553614155e-03
6.4938377864e+02,-7.0706715674e+01,1.8337025329e+00,3.0017679731e-04,1.8337025329e-03
7.2153753182e+02,-7.0706715674e+01,1.8120436504e+00,3.0017679731e-04,1.8120436504e-03
7.9369128501e+02,-7.0706715674e+01,1.7903847678e+00,3.0017679731e-04,1.7903847678e-03
8.6584503819e+02,-7.0706715674e+01,1.7687258853e+00,3.0017679731e-04,1.7687258853e-03
9.3799879137e+02,-7.0706715674e+01,1.7470670027e+00,3.0017679731e-04,1.7470670027e-03
1.0101525446e+03,-7.0706715674e+01,1.7254081202e+00,3.0017679731e-04,1.7254081202e-03
1.0823062977e+03,-7.0706715674e+01,1.7037492377e+00,3.0017679731e-04,1.7037492377e-03
1.1544600509e+03,-7.0706715674e+01,1.6820903551e+00,3.0017679731e-04,1.6820903551e-03
1.2266138041e+03,-7.0706715674e+01,1.6604314726e+00,3.0017679731e-04,1.6604314726e-03
1.2987675573e+03,-7.0706715674e+01,1.6387725900e+00,3.0017679731e-04,1.6387725900e-03
1.3709213105e+03,-7.0706715674e+01,1.6171137075e+00,3.0017679731e-04,1.6171137075e-03
1.4430750636e+03,-7.0706715674e+01,1.5954548249e+00,3.0017679731e-04,1.5954548249e-03
1.5152288168e+03,-7.0706715674e+01,1.5737959424e+00,3.0017679731e-04,1.5737959424e-03
1.5873825700e+03,-7.0706715674e+01,1.5521370599e+00,3.0017679731e-04,1.5521370599e-03
1.6595363232e+03,-7.0706715674e+01,1.5304781773e+00,3.0017679731e-04,1.5304781773e-03
1.7316900764e+03,-7.0706715674e+01,1.5088192948e+00,3.0017679731e-04,1.5088192948e-03
1.8038438296e+03,-7.0706715674e+01,1.4871604122e+00,3.0017679731e-04,1.4871604122e-03
1.8759975827e+03,-7.0706715674e+01,1.4655015297e+00,3.0017679731e-04,1.4655015297e-03
1.9481513359e+03,-7.0706715674e+01,1.4438426471e+00,3.0017679731e-04,1.4438426471e-03
2.0203050891e+03,-7.0706715674e+01,1.4221837646e+00,3.0017679731e-04,1.4221837646e-03
2.0924588423e+03,-7.0706715674e+01,1.4005248820e+00,3.0017679731e-04,1.4005248820e-03
2.1646125955e+03,-7.0706715674e+01,1.3788659995e+00,3.0017679731e-04,1.3788659995e-03
2.2367663487e+03,-7.0706715674e+01,1.3572071170e+00,3.0017679731e-04,1.3572071170e-03
2.3089201018e+03,-7.0706715674e+01,1.3355482344e+00,3.0017679731e-04,1.3355482344e-03
2.3810738550e+03,-7.0706715674e+01,1.3138893519e+00,3.0017679731e-04,1.3138893519e-03
2.4532276082e+03,-7.0706715674e+01,1.2922304693e+00,3.0017679731e-04,1.2922304693e-03
2.5253813614e+03,-7.0706715674e+01,1.2705715868e+00,3.0017679731e-04,1.2705715868e-03
2.5975351146e+03,-7.0706715674e+01,1.2489127042e+00,3.0017679731e-04,1.2489127042e-03
2.6696888677e+03,-7.0706715674e+01,1.2272538217e+00,3.0017679731e-04,1.2272538217e-03
2.7418426209e+03,-7.0706715674e+01,1.2055949392e+00,3.0017679731e-04,1.2055949392e-03
2.8139963741e+03,-7.0706715674e+01,1.1839360566e+00,3.0017679731e-04,1.1839360566e-03
2.8861501273e+03,-7.0706715674e+01,1.1622771741e+00,3.0017679731e-04,1.1622771741e-03
2.9583038805e+03,-7.0706715674e+01,1.1406182915e+00,3.0017679731e-04,1.1406182915e-03
3.0304576337e+03,-7.0706715674e+01,1.1189594090e+00,3.0017679731e-04,1.1189594090e-03
3.1026113868e+03,-7.0706715674e+01,1.0973005264e+00,3.0017679731e-04,1.0973005264e-03
3.1747651400e+03,-7.0706715674e+01,1.0756416439e+00,3.0017679731e-04,1.0756416439e-03
3.2469188932e+03,-7.0706715674e+01,1.0539827613e+00,3.0017679731e-04,1.0539827613e-03
3.3190726464e+03,-7.0706715674e+01,1.0323238788e+00,3.0017679731e-04,1.0323238788e-03
3.3912263996e+03,-7.0706715674e+01,1.0106649963e+00,3.0017679731e-04,1.0106649963e-03
3.4633801528e+03,-7.0706715674e+01,9.8900611372e-01,3.0017679731e-04,9.8900611372e-04
3.5355339059e+03,-7.0706715674e+01,9.6734723117e-01,3.0017679731e-04,9.6734723117e-04
