x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,-3.5345306623e+01,1.8622636398e+00,7.7541646973e-05,1.8622636398e-03
7.2153753182e+01,-3.5345306623e+01,1.8566687189e+00,7.7541646973e-05,1.8566687189e-03
1.4430750636e+02,-3.5345306623e+01,1.8510737981e+00,7.7541646973e-05,1.8510737981e-03
2.1646125955e+02,-3.5345306623e+01,1.8454788772e+00,7.7541646973e-05,1.8454788772e-03
2.8861501273e+02,-3.5345306623e+01,1.8398839564e+00,7.7541646973e-05,1.8398839564e-03
3.6076876591e+02,-3.5345306623e+01,1.8342890355e+00,7.7541646973e-05,1.8342890355e-03
4.3292251909e+02,-3.5345306623e+01,1.8286941147e+00,7.7541646973e-05,1.8286941147e-03
5.0507627228e+02,-3.5345306623e+01,1.8230991938e+00,7.7541646973e-05,1.8230991938e-03
5.7723002546e+02,-3.5345306623e+01,1.8175042729e+00,7.7541646973e-05,1.8175042729e-03
6.4938377864e+02,-3.5345306623e+01,1.8119093521e+00,7.7541646973e-05,1.8119093521e-03
7.2153753182e+02,-3.5345306623e+01,1.8063144312e+00,7.7541646973e-05,1.8063144312e-03
7.9369128501e+02,-3.5345306623e+01,1.8007195104e+00,7.7541646973e-05,1.8007195104e-03
8.6584503819e+02,-3.5345306623e+01,1.7951245895e+00,7.7541646973e-05,1.7951245895e-03
9.3799879137e+02,-3.5345306623e+01,1.7895296687e+00,7.7541646973e-05,1.7895296687e-03
1.0101525446e+03,-3.5345306623e+01,1.7839347478e+00,7.7541646973e-05,1.7839347478e-03
1.0823062977e+03,-3.5345306623e+01,1.7783398269e+00,7.7541646973e-05,1.7783398269e-03
1.1544600509e+03,-3.5345306623e+01,1.7727449061e+00,7.7541646973e-05,1.7727449061e-03
1.2266138041e+03,-3.5345306623e+01,1.7671499852e+00,7.7541646973e-05,1.7671499852e-03
1.2987675573e+03,-3.5345306623e+01,1.7615550644e+00,7.7541646973e-05,1.7615550644e-03
1.3709213105e+03,-3.5345306623e+01,1.7559601435e+00,7.7541646973e-05,1.7559601435e-03
1.4430750636e+03,-3.5345306623e+01,1.7503652227e+00,7.7541646973e-05,1.7503652227e-03
1.5152288168e+03,-3.5345306623e+01,1.7447703018e+00,7.7541646973e-05,1.7447703018e-03
1.5873825700e+03,-3.5345306623e+01,1.7391753809e+00,7.7541646973e-05,1.7391753809e-03
1.6595363232e+03,-3.5345306623e+01,1.7335804601e+00,7.7541646973e-05,1.7335804601e-03
1.7316900764e+03,-3.5345306623e+01,1.7279855392e+00,7.7541646973e-05,1.7279855392e-03
1.8038438296e+03,-3.5345306623e+01,1.7223906184e+00,7.7541646973e-05,1.7223906184e-03
1.8759975827e+03,-3.5345306623e+01,1.7167956975e+00,7.7541646973e-05,1.7167956975e-03
1.9481513359e+03,-3.5345306623e+01,1.7112007767e+00,7.7541646973e-05,1.7112007767e-03
2.0203050891e+03,-3.5345306623e+01,1.7056058558e+00,7.7541646973e-05,1.7056058558e-03
2.0924588423e+03,-3.5345306623e+01,1.7000109349e+00,7.7541646973e-05,1.7000109349e-03
2.1646125955e+03,-3.5345306623e+01,1.6944160141e+00,7.7541646973e-05,1.6944160141e-03
2.2367663487e+03,-3.5345306623e+01,1.6888210932e+00,7.7541646973e-05,1.6888210932e-03
2.3089201018e+03,-3.5345306623e+01,1.6832261724e+00,7.7541646973e-05,1.6832261724e-03
2.3810738550e+03,-3.5345306623e+01,1.6776312515e+00,7.7541646973e-05,1.6776312515e-03
2.4532276082e+03,-3.5345306623e+01,1.6720363307e+00,7.7541646973e-05,1.6720363307e-03
2.5253813614e+03,-3.5345306623e+01,1.6664414098e+00,7.7541646973e-05,1.6664414098e-03
2.5975351146e+03,-3.5345306623e+01,1.6608464889e+00,7.7541646973e-05,1.6608464889e-03
2.6696888677e+03,-3.5345306623e+01,1.6552515681e+00,7.7541646973e-05,1.6552515681e-03
2.7418426209e+03,-3.5345306623e+01,1.6496566472e+00,7.7541646973e-05,1.6496566472e-03
2.8139963741e+03,-3.5345306623e+01,1.6440617264e+00,7.7541646973e-05,1.6440617264e-03
2.8861501273e+03,-3.5345306623e+01,1.6384668055e+00,7.7541646973e-05,1.6384668055e-03
2.9583038805e+03,-3.5345306623e+01,1.6328718847e+00,7.7541646973e-05,1.6328718847e-03
3.0304576337e+03,-3.5345306623e+01,1.6272769638e+00,7.7541646973e-05,1.6272769638e-03
3.1026113868e+03,-3.5345306623e+01,1.6216820429e+00,7.7541646973e-05,1.6216820429e-03
3.1747651400e+03,-3.5345306623e+01,1.6160871221e+00,7.7541646973e-05,1.6160871221e-03
3.2469188932e+03,-3.5345306623e+01,1.6104922012e+00,7.7541646973e-05,1.6104922012e-03
3.3190726464e+03,-3.5345306623e+01,1.6048972804e+00,7.7541646973e-05,1.6048972804e-03
3.3912263996e+03,-3.5345306623e+01,1.5993023595e+00,7.7541646973e-05,1.5993023595e-03
3.4633801528e+03,-3.5345306623e+01,1.5937074387e+00,7.7541646973e-05,1.5937074387e-03
3.5355339059e+03,-3.5345306623e+01,1.5881125178e+00,7.7541646973e-05,1.5881125178e-03
