x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,-7.0705663570e+01,6.0173818531e-01,-6.4558792942e-04,6.0173818531e-04
7.2153753182e+01,-7.0705663570e+01,6.4831977742e-01,-6.4558792942e-04,6.4831977742e-04
1.4430750636e+02,-7.0705663570e+01,6.9490136954e-01,-6.4558792942e-04,6.9490136954e-04
2.1646125955e+02,-7.0705663570e+01,7.4148296166e-01,-6.4558792942e-04,7.4148296166e-04
2.8861501273e+02,-7.0705663570e+01,7.8806455378e-01,-6.4558792942e-04,7.8806455378e-04
3.6076876591e+02,-7.0705663570e+01,8.3464614589e-01,-6.4558792942e-04,8.3464614589e-04
4.3292251909e+02,-7.0705663570e+01,8.8122773801e-01,-6.4558792942e-04,8.8122773801e-04
5.0507627228e+02,-7.0705663570e+01,9.2780933013e-01,-6.4558792942e-04,9.2780933013e-04
5.7723002546e+02,-7.0705663570e+01,9.7439092224e-01,-6.4558792942e-04,9.7439092224e-04
6.4938377864e+02,-7.0705663570e+01,1.0209725144e+00,-6.4558792942e-04,1.0209725144e-03
7.2153753182e+02,-7.0705663570e+01,1.0675541065e+00,-6.4558792942e-04,1.0675541065e-03
7.9369128501e+02,-7.0705663570e+01,1.1141356986e+00,-6.4558792942e-04,1.1141356986e-03
8.6584503819e+02,-7.0705663570e+01,1.1607172907e+00,-6.4558792942e-04,1.1607172907e-03
9.3799879137e+02,-7.0705663570e+01,1.2072988828e+00,-6.4558792942e-04,1.2072988828e-03
1.0101525446e+03,-7.0705663570e+01,1.2538804749e+00,-6.4558792942e-04,1.2538804749e-03
1.0823062977e+03,-7.0705663570e+01,1.3004620671e+00,-6.4558792942e-04,1.3004620671e-03
1.1544600509e+03,-7.0705663570e+01,1.3470436592e+00,-6.4558792942e-04,1.3470436592e-03
1.2266138041e+03,-7.0705663570e+01,1.3936252513e+00,-6.4558792942e-04,1.3936252513e-03
1.2987675573e+03,-7.0705663570e+01,1.4402068434e+00,-6.4558792942e-04,1.4402068434e-03
1.3709213105e+03,-7.0705663570e+01,1.4867884355e+00,-6.4558792942e-04,1.4867884355e-03
1.4430750636e+03,-7.0705663570e+01,1.5333700276e+00,-6.4558792942e-04,1.5333700276e-03
1.5152288168e+03,-7.0705663570e+01,1.5799516198e+00,-6.4558792942e-04,1.5799516198e-03
1.5873825700e+03,-7.0705663570e+01,1.6265332119e+00,-6.4558792942e-04,1.6265332119e-03
1.6595363232e+03,-7.0705663570e+01,1.6731148040e+00,-6.4558792942e-04,1.6731148040e-03
1.7316900764e+03,-7.0705663570e+01,1.7196963961e+00,-6.4558792942e-04,1.7196963961e-03
1.8038438296e+03,-7.0705663570e+01,1.7662779882e+00,-6.4558792942e-04,1.7662779882e-03
1.8759975827e+03,-7.0705663570e+01,1.8128595803e+00,-6.4558792942e-04,1.8128595803e-03
1.9481513359e+03,-7.0705663570e+01,1.8594411725e+00,-6.4558792942e-04,1.8594411725e-03
2.0203050891e+03,-7.0705663570e+01,1.9060227646e+00,-6.4558792942e-04,1.9060227646e-03
2.0924588423e+03,-7.0705663570e+01,1.9526043567e+00,-6.4558792942e-04,1.9526043567e-03
2.1646125955e+03,-7.0705663570e+01,1.9991859488e+00,-6.4558792942e-04,1.9991859488e-03
2.2367663487e+03,-7.0705663570e+01,2.0457675409e+00,-6.4558792942e-04,2.0457675409e-03
2.3089201018e+03,-7.0705663570e+01,2.0923491330e+00,-6.4558792942e-04,2.0923491330e-03
2.3810738550e+03,-7.0705663570e+01,2.1389307252e+00,-6.4558792942e-04,2.1389307252e-03
2.4532276082e+03,-7.0705663570e+01,2.1855123173e+00,-6.4558792942e-04,2.1855123173e-03
2.5253813614e+03,-7.0705663570e+01,2.2320939094e+00,-6.4558792942e-04,2.2320939094e-03
2.5975351146e+03,-7.0705663570e+01,2.2786755015e+00,-6.4558792942e-04,2.2786755015e-03
2.6696888677e+03,-7.0705663570e+01,2.3252570936e+00,-6.4558792942e-04,2.3252570936e-03
2.7418426209e+03,-7.0705663570e+01,2.3718386857e+00,-6.4558792942e-04,2.3718386857e-03
2.8139963741e+03,-7.0705663570e+01,2.4184202779e+00,-6.4558792942e-04,2.4184202779e-03
2.8861501273e+03,-7.0705663570e+01,2.4650018700e+00,-6.4558792942e-04,2.4650018700e-03
2.9583038805e+03,-7.0705663570e+01,2.5115834621e+00,-6.4558792942e-04,2.5115834621e-03
3.0304576337e+03,-7.0705663570e+01,2.5581650542e+00,-6.4558792942e-04,2.5581650542e-03
3.1026113868e+03,-7.0705663570e+01,2.6047466463e+00,-6.4558792942e-04,2.6047466463e-03
3.1747651400e+03,-7.0705663570e+01,2.6513282384e+00,-6.4558792942e-04,2.6513282384e-03
3.2469188932e+03,-7.0705663570e+01,2.6979098306e+00,-6.4558792942e-04,2.6979098306e-03
3.3190726464e+03,-7.0705663570e+01,2.7444914227e+00,-6.4558792942e-04,2.7444914227e-03
3.3912263996e+03,-7.0705663570e+01,2.7910730148e+00,-6.4558792942e-04,2.7910730148e-03
3.4633801528e+03,-7.0705663570e+01,2.8376546069e+00,-6.4558792942e-04,2.8376546069e-03
3.5355339059e+03,-7.0705663570e+01,2.8842361990e+00,-6.4558792942e-04,2.8842361990e-03
