x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,5.0001562137e+01,-6.2450625878e-02,-1.9441525694e-03,-6.2450625878e-05
5.1020408163e+01,5.0001562137e+01,3.6740831745e-02,-1.9441525694e-03,3.6740831745e-05
1.0204081633e+02,5.0001562137e+01,1.3593228937e-01,-1.9441525694e-03,1.3593228937e-04
1.5306122449e+02,5.0001562137e+01,2.3512374699e-01,-1.9441525694e-03,2.3512374699e-04
2.0408163265e+02,5.0001562137e+01,3.3431520461e-01,-1.9441525694e-03,3.3431520461e-04
2.5510204082e+02,5.0001562137e+01,4.3350666224e-01,-1.9441525694e-03,4.3350666224e-04
3.0612244898e+02,5.0001562137e+01,5.3269811986e-01,-1.9441525694e-03,5.3269811986e-04
3.5714285714e+02,5.0001562137e+01,6.3188957748e-01,-1.9441525694e-03,6.3188957748e-04
4.0816326531e+02,5.0001562137e+01,7.3108103510e-01,-1.9441525694e-03,7.3108103510e-04
4.5918367347e+02,5.0001562137e+01,8.3027249273e-01,-1.9441525694e-03,8.3027249273e-04
5.1020408163e+02,5.0001562137e+01,9.2946395035e-01,-1.9441525694e-03,9.2946395035e-04
5.6122448980e+02,5.0001562137e+01,1.0286554080e+00,-1.9441525694e-03,1.0286554080e-03
6.1224489796e+02,5.0001562137e+01,1.1278468656e+00,-1.9441525694e-03,1.1278468656e-03
6.6326530612e+02,5.0001562137e+01,1.2270383232e+00,-1.9441525694e-03,1.2270383232e-03
7.1428571429e+02,5.0001562137e+01,1.3262297808e+00,-1.9441525694e-03,1.3262297808e-03
7.6530612245e+02,5.0001562137e+01,1.4254212385e+00,-1.9441525694e-03,1.4254212385e-03
8.1632653061e+02,5.0001562137e+01,1.5246126961e+00,-1.9441525694e-03,1.5246126961e-03
8.6734693878e+02,5.0001562137e+01,1.6238041537e+00,-1.9441525694e-03,1.6238041537e-03
9.1836734694e+02,5.0001562137e+01,1.7229956113e+00,-1.9441525694e-03,1.7229956113e-03
9.6938775510e+02,5.0001562137e+01,1.8221870690e+00,-1.9441525694e-03,1.8221870690e-03
1.0204081633e+03,5.0001562137e+01,1.9213785266e+00,-1.9441525694e-03,1.9213785266e-03
1.0714285714e+03,5.0001562137e+01,2.0205699842e+00,-1.9441525694e-03,2.0205699842e-03
1.1224489796e+03,5.0001562137e+01,2.1197614418e+00,-1.9441525694e-03,2.1197614418e-03
1.1734693878e+03,5.0001562137e+01,2.2189528994e+00,-1.9441525694e-03,2.2189528994e-03
1.2244897959e+03,5.0001562137e+01,2.3181443571e+00,-1.9441525694e-03,2.3181443571e-03
1.2755102041e+03,5.0001562137e+01,2.4173358147e+00,-1.9441525694e-03,2.4173358147e-03
1.3265306122e+03,5.0001562137e+01,2.5165272723e+00,-1.9441525694e-03,2.5165272723e-03
1.3775510204e+03,5.0001562137e+01,2.6157187299e+00,-1.9441525694e-03,2.6157187299e-03
1.4285714286e+03,5.0001562137e+01,2.7149101876e+00,-1.9441525694e-03,2.7149101876e-03
1.4795918367e+03,5.0001562137e+01,2.8141016452e+00,-1.9441525694e-03,2.8141016452e-03
1.5306122449e+03,5.0001562137e+01,2.9132931028e+00,-1.9441525694e-03,2.9132931028e-03
1.5816326531e+03,5.0001562137e+01,3.0124845604e+00,-1.9441525694e-03,3.0124845604e-03
1.6326530612e+03,5.0001562137e+01,3.1116760181e+00,-1.9441525694e-03,3.1116760181e-03
1.6836734694e+03,5.0001562137e+01,3.2108674757e+00,-1.9441525694e-03,3.2108674757e-03
1.7346938776e+03,5.0001562137e+01,3.3100589333e+00,-1.9441525694e-03,3.3100589333e-03
1.7857142857e+03,5.0001562137e+01,3.4092503909e+00,-1.9441525694e-03,3.4092503909e-03
1.8367346939e+03,5.0001562137e+01,3.5084418485e+00,-1.9441525694e-03,3.5084418485e-03
1.8877551020e+03,5.0001562137e+01,3.6076333062e+00,-1.9441525694e-03,3.6076333062e-03
1.9387755102e+03,5.0001562137e+01,3.7068247638e+00,-1.9441525694e-03,3.7068247638e-03
1.9897959184e+03,5.0001562137e+01,3.8060162214e+00,-1.9441525694e-03,3.8060162214e-03
2.0408163265e+03,5.0001562137e+01,3.9052076790e+00,-1.9441525694e-03,3.9052076790e-03
2.0918367347e+03,5.0001562137e+01,4.0043991367e+00,-1.9441525694e-03,4.0043991367e-03
2.1428571429e+03,5.0001562137e+01,4.1035905943e+00,-1.9441525694e-03,4.1035905943e-03
2.1938775510e+03,5.0001562137e+01,4.2027820519e+00,-1.9441525694e-03,4.2027820519e-03
2.2448979592e+03,5.0001562137e+01,4.3019735095e+00,-1.9441525694e-03,4.3019735095e-03
2.2959183673e+03,5.0001562137e+01,4.4011649671e+00,-1.9441525694e-03,4.4011649671e-03
2.3469387755e+03,5.0001562137e+01,4.5003564248e+00,-1.9441525694e-03,4.5003564248e-03
2.3979591837e+03,5.0001562137e+01,4.5995478824e+00,-1.9441525694e-03,4.5995478824e-03
2.4489795918e+03,5.0001562137e+01,4.6987393400e+00,-1.9441525694e-03,4.6987393400e-03
2.5000000000e+03,5.0001562137e+01,4.7979307976e+00,-1.9441525694e-03,4.7979307976e-03
