x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,-1.0699756170e-03,5.5691386162e+00,4.1517510451e-03,5.5691386162e-03
5.1020408163e+01,-1.0699756170e-03,5.3573145833e+00,4.1517510451e-03,5.3573145833e-03
1.0204081633e+02,-1.0699756170e-03,5.1454905504e+00,4.1517510451e-03,5.1454905504e-03
1.5306122449e+02,-1.0699756170e-03,4.9336665175e+00,4.1517510451e-03,4.9336665175e-03
2.0408163265e+02,-1.0699756170e-03,4.7218424846e+00,4.1517510451e-03,4.7218424846e-03
2.5510204082e+02,-1.0699756170e-03,4.5100184516e+00,4.1517510451e-03,4.5100184516e-03
3.0612244898e+02,-1.0699756170e-03,4.2981944187e+00,4.1517510451e-03,4.2981944187e-03
3.5714285714e+02,-1.0699756170e-03,4.0863703858e+00,4.1517510451e-03,4.0863703858e-03
4.0816326531e+02,-1.0699756170e-03,3.8745463529e+00,4.1517510451e-03,3.8745463529e-03
4.5918367347e+02,-1.0699756170e-03,3.6627223200e+00,4.1517510451e-03,3.6627223200e-03
5.1020408163e+02,-1.0699756170e-03,3.4508982871e+00,4.1517510451e-03,3.4508982871e-03
5.6122448980e+02,-1.0699756170e-03,3.2390742542e+00,4.1517510451e-03,3.2390742542e-03
6.1224489796e+02,-1.0699756170e-03,3.0272502213e+00,4.1517510451e-03,3.0272502213e-03
6.6326530612e+02,-1.0699756170e-03,2.8154261883e+00,4.1517510451e-03,2.8154261883e-03
7.1428571429e+02,-1.0699756170e-03,2.6036021554e+00,4.1517510451e-03,2.6036021554e-03
7.6530612245e+02,-1.0699756170e-03,2.3917781225e+00,4.1517510451e-03,2.3917781225e-03
8.1632653061e+02,-1.0699756170e-03,2.1799540896e+00,4.1517510451e-03,2.1799540896e-03
8.6734693878e+02,-1.0699756170e-03,1.9681300567e+00,4.1517510451e-03,1.9681300567e-03
9.1836734694e+02,-1.0699756170e-03,1.7563060238e+00,4.1517510451e-03,1.7563060238e-03
9.6938775510e+02,-1.0699756170e-03,1.5444819909e+00,4.1517510451e-03,1.5444819909e-03
1.0204081633e+03,-1.0699756170e-03,1.3326579580e+00,4.1517510451e-03,1.3326579580e-03
1.0714285714e+03,-1.0699756170e-03,1.1208339251e+00,4.1517510451e-03,1.1208339251e-03
1.1224489796e+03,-1.0699756170e-03,9.0900989214e-01,4.1517510451e-03,9.0900989214e-04
1.1734693878e+03,-1.0699756170e-03,6.9718585923e-01,4.1517510451e-03,6.9718585923e-04
1.2244897959e+03,-1.0699756170e-03,4.8536182632e-01,4.1517510451e-03,4.8536182632e-04
1.2755102041e+03,-1.0699756170e-03,2.7353779340e-01,4.1517510451e-03,2.7353779340e-04
1.3265306122e+03,-1.0699756170e-03,6.1713760491e-02,4.1517510451e-03,6.1713760491e-05
1.3775510204e+03,-1.0699756170e-03,-1.5011027242e-01,4.1517510451e-03,-1.5011027242e-04
1.4285714286e+03,-1.0699756170e-03,-3.6193430533e-01,4.1517510451e-03,-3.6193430533e-04
1.4795918367e+03,-1.0699756170e-03,-5.7375833824e-01,4.1517510451e-03,-5.7375833824e-04
1.5306122449e+03,-1.0699756170e-03,-7.8558237116e-01,4.1517510451e-03,-7.8558237116e-04
1.5816326531e+03,-1.0699756170e-03,-9.9740640407e-01,4.1517510451e-03,-9.9740640407e-04
1.6326530612e+03,-1.0699756170e-03,-1.2092304370e+00,4.1517510451e-03,-1.2092304370e-03
1.6836734694e+03,-1.0699756170e-03,-1.4210544699e+00,4.1517510451e-03,-1.4210544699e-03
1.7346938776e+03,-1.0699756170e-03,-1.6328785028e+00,4.1517510451e-03,-1.6328785028e-03
1.7857142857e+03,-1.0699756170e-03,-1.8447025357e+00,4.1517510451e-03,-1.8447025357e-03
1.8367346939e+03,-1.0699756170e-03,-2.0565265686e+00,4.1517510451e-03,-2.0565265686e-03
1.8877551020e+03,-1.0699756170e-03,-2.2683506015e+00,4.1517510451e-03,-2.2683506015e-03
1.9387755102e+03,-1.0699756170e-03,-2.4801746345e+00,4.1517510451e-03,-2.4801746345e-03
1.9897959184e+03,-1.0699756170e-03,-2.6919986674e+00,4.1517510451e-03,-2.6919986674e-03
2.0408163265e+03,-1.0699756170e-03,-2.9038227003e+00,4.1517510451e-03,-2.9038227003e-03
2.0918367347e+03,-1.0699756170e-03,-3.1156467332e+00,4.1517510451e-03,-3.1156467332e-03
2.1428571429e+03,-1.0699756170e-03,-3.3274707661e+00,4.1517510451e-03,-3.3274707661e-03
2.1938775510e+03,-1.0699756170e-03,-3.5392947990e+00,4.1517510451e-03,-3.5392947990e-03
2.2448979592e+03,-1.0699756170e-03,-3.7511188319e+00,4.1517510451e-03,-3.7511188319e-03
2.2959183673e+03,-1.0699756170e-03,-3.9629428648e+00,4.1517510451e-03,-3.9629428648e-03
2.3469387755e+03,-1.0699756170e-03,-4.1747668977e+00,4.1517510451e-03,-4.1747668977e-03
2.3979591837e+03,-1.0699756170e-03,-4.3865909307e+00,4.1517510451e-03,-4.3865909307e-03
2.4489795918e+03,-1.0699756170e-03,-4.5984149636e+00,4.1517510451e-03,-4.5984149636e-03
2.5000000000e+03,-1.0699756170e-03,-4.8102389965e+00,4.1517510451e-03,-4.8102389965e-03
