x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,-2.4996362885e+01,9.7615729871e-01,3.2291183293e-04,9.7615729871e-04
5.1020408163e+01,-2.4996362885e+01,9.5968220520e-01,3.2291183293e-04,9.5968220520e-04
1.0204081633e+02,-2.4996362885e+01,9.4320711168e-01,3.2291183293e-04,9.4320711168e-04
1.5306122449e+02,-2.4996362885e+01,9.2673201816e-01,3.2291183293e-04,9.2673201816e-04
2.0408163265e+02,-2.4996362885e+01,9.1025692465e-01,3.2291183293e-04,9.1025692465e-04
2.5510204082e+02,-2.4996362885e+01,8.9378183113e-01,3.2291183293e-04,8.9378183113e-04
3.0612244898e+02,-2.4996362885e+01,8.7730673761e-01,3.2291183293e-04,8.7730673761e-04
3.5714285714e+02,-2.4996362885e+01,8.6083164410e-01,3.2291183293e-04,8.6083164410e-04
4.0816326531e+02,-2.4996362885e+01,8.4435655058e-01,3.2291183293e-04,8.4435655058e-04
4.5918367347e+02,-2.4996362885e+01,8.2788145706e-01,3.2291183293e-04,8.2788145706e-04
5.1020408163e+02,-2.4996362885e+01,8.1140636355e-01,3.2291183293e-04,8.1140636355e-04
5.6122448980e+02,-2.4996362885e+01,7.9493127003e-01,3.2291183293e-04,7.9493127003e-04
6.1224489796e+02,-2.4996362885e+01,7.7845617651e-01,3.2291183293e-04,7.7845617651e-04
6.6326530612e+02,-2.4996362885e+01,7.6198108300e-01,3.2291183293e-04,7.6198108300e-04
7.1428571429e+02,-2.4996362885e+01,7.4550598948e-01,3.2291183293e-04,7.4550598948e-04
7.6530612245e+02,-2.4996362885e+01,7.2903089596e-01,3.2291183293e-04,7.2903089596e-04
8.1632653061e+02,-2.4996362885e+01,7.1255580245e-01,3.2291183293e-04,7.1255580245e-04
8.6734693878e+02,-2.4996362885e+01,6.9608070893e-01,3.2291183293e-04,6.9608070893e-04
9.1836734694e+02,-2.4996362885e+01,6.7960561541e-01,3.2291183293e-04,6.7960561541e-04
9.6938775510e+02,-2.4996362885e+01,6.6313052190e-01,3.2291183293e-04,6.6313052190e-04
1.0204081633e+03,-2.4996362885e+01,6.4665542838e-01,3.2291183293e-04,6.4665542838e-04
1.0714285714e+03,-2.4996362885e+01,6.3018033486e-01,3.2291183293e-04,6.3018033486e-04
1.1224489796e+03,-2.4996362885e+01,6.1370524135e-01,3.2291183293e-04,6.1370524135e-04
1.1734693878e+03,-2.4996362885e+01,5.9723014783e-01,3.2291183293e-04,5.9723014783e-04
1.2244897959e+03,-2.4996362885e+01,5.8075505431e-01,3.2291183293e-04,5.8075505431e-04
1.2755102041e+03,-2.4996362885e+01,5.6427996079e-01,3.2291183293e-04,5.6427996079e-04
1.3265306122e+03,-2.4996362885e+01,5.4780486728e-01,3.2291183293e-04,5.4780486728e-04
1.3775510204e+03,-2.4996362885e+01,5.3132977376e-01,3.2291183293e-04,5.3132977376e-04
1.4285714286e+03,-2.4996362885e+01,5.1485468024e-01,3.2291183293e-04,5.1485468024e-04
1.4795918367e+03,-2.4996362885e+01,4.9837958673e-01,3.2291183293e-04,4.9837958673e-04
1.5306122449e+03,-2.4996362885e+01,4.8190449321e-01,3.2291183293e-04,4.8190449321e-04
1.5816326531e+03,-2.4996362885e+01,4.6542939969e-01,3.2291183293e-04,4.6542939969e-04
1.6326530612e+03,-2.4996362885e+01,4.4895430618e-01,3.2291183293e-04,4.4895430618e-04
1.6836734694e+03,-2.4996362885e+01,4.3247921266e-01,3.2291183293e-04,4.3247921266e-04
1.7346938776e+03,-2.4996362885e+01,4.1600411914e-01,3.2291183293e-04,4.1600411914e-04
1.7857142857e+03,-2.4996362885e+01,3.9952902563e-01,3.2291183293e-04,3.9952902563e-04
1.8367346939e+03,-2.4996362885e+01,3.8305393211e-01,3.2291183293e-04,3.8305393211e-04
1.8877551020e+03,-2.4996362885e+01,3.6657883859e-01,3.2291183293e-04,3.6657883859e-04
1.9387755102e+03,-2.4996362885e+01,3.5010374508e-01,3.2291183293e-04,3.5010374508e-04
1.9897959184e+03,-2.4996362885e+01,3.3362865156e-01,3.2291183293e-04,3.3362865156e-04
2.0408163265e+03,-2.4996362885e+01,3.1715355804e-01,3.2291183293e-04,3.1715355804e-04
2.0918367347e+03,-2.4996362885e+01,3.0067846453e-01,3.2291183293e-04,3.0067846453e-04
2.1428571429e+03,-2.4996362885e+01,2.8420337101e-01,3.2291183293e-04,2.8420337101e-04
2.1938775510e+03,-2.4996362885e+01,2.6772827749e-01,3.2291183293e-04,2.6772827749e-04
2.2448979592e+03,-2.4996362885e+01,2.5125318398e-01,3.2291183293e-04,2.5125318398e-04
2.2959183673e+03,-2.4996362885e+01,2.3477809046e-01,3.2291183293e-04,2.3477809046e-04
2.3469387755e+03,-2.4996362885e+01,2.1830299694e-01,3.2291183293e-04,2.1830299694e-04
2.3979591837e+03,-2.4996362885e+01,2.0182790343e-01,3.2291183293e-04,2.0182790343e-04
2.4489795918e+03,-2.4996362885e+01,1.8535280991e-01,3.2291183293e-04,1.8535280991e-04
2.5000000000e+03,-2.4996362885e+01,1.6887771639e-01,3.2291183293e-04,1.6887771639e-04
