x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,4.9996910679e+01,7.1215655176e+00,4.0023206866e-03,7.1215655176e-03
5.1020408163e+01,4.9996910679e+01,6.9173654825e+00,4.0023206866e-03,6.9173654825e-03
1.0204081633e+02,4.9996910679e+01,6.7131654475e+00,4.0023206866e-03,6.7131654475e-03
1.5306122449e+02,4.9996910679e+01,6.5089654125e+00,4.0023206866e-03,6.5089654125e-03
2.0408163265e+02,4.9996910679e+01,6.3047653774e+00,4.0023206866e-03,6.3047653774e-03
2.5510204082e+02,4.9996910679e+01,6.1005653424e+00,4.0023206866e-03,6.1005653424e-03
3.0612244898e+02,4.9996910679e+01,5.8963653074e+00,4.0023206866e-03,5.8963653074e-03
3.5714285714e+02,4.9996910679e+01,5.6921652723e+00,4.0023206866e-03,5.6921652723e-03
4.0816326531e+02,4.9996910679e+01,5.4879652373e+00,4.0023206866e-03,5.4879652373e-03
4.5918367347e+02,4.9996910679e+01,5.2837652023e+00,4.0023206866e-03,5.2837652023e-03
5.1020408163e+02,4.9996910679e+01,5.0795651672e+00,4.0023206866e-03,5.0795651672e-03
5.6122448980e+02,4.9996910679e+01,4.8753651322e+00,4.0023206866e-03,4.8753651322e-03
6.1224489796e+02,4.9996910679e+01,4.6711650972e+00,4.0023206866e-03,4.6711650972e-03
6.6326530612e+02,4.9996910679e+01,4.4669650621e+00,4.0023206866e-03,4.4669650621e-03
7.1428571429e+02,4.9996910679e+01,4.2627650271e+00,4.0023206866e-03,4.2627650271e-03
7.6530612245e+02,4.9996910679e+01,4.0585649921e+00,4.0023206866e-03,4.0585649921e-03
8.1632653061e+02,4.9996910679e+01,3.8543649570e+00,4.0023206866e-03,3.8543649570e-03
8.6734693878e+02,4.9996910679e+01,3.6501649220e+00,4.0023206866e-03,3.6501649220e-03
9.1836734694e+02,4.9996910679e+01,3.4459648870e+00,4.0023206866e-03,3.4459648870e-03
9.6938775510e+02,4.9996910679e+01,3.2417648519e+00,4.0023206866e-03,3.2417648519e-03
1.0204081633e+03,4.9996910679e+01,3.0375648169e+00,4.0023206866e-03,3.0375648169e-03
1.0714285714e+03,4.9996910679e+01,2.8333647819e+00,4.0023206866e-03,2.8333647819e-03
1.1224489796e+03,4.9996910679e+01,2.6291647468e+00,4.0023206866e-03,2.6291647468e-03
1.1734693878e+03,4.9996910679e+01,2.4249647118e+00,4.0023206866e-03,2.4249647118e-03
1.2244897959e+03,4.9996910679e+01,2.2207646768e+00,4.0023206866e-03,2.2207646768e-03
1.2755102041e+03,4.9996910679e+01,2.0165646417e+00,4.0023206866e-03,2.0165646417e-03
1.3265306122e+03,4.9996910679e+01,1.8123646067e+00,4.0023206866e-03,1.8123646067e-03
1.3775510204e+03,4.9996910679e+01,1.6081645717e+00,4.0023206866e-03,1.6081645717e-03
1.4285714286e+03,4.9996910679e+01,1.4039645366e+00,4.0023206866e-03,1.4039645366e-03
1.4795918367e+03,4.9996910679e+01,1.1997645016e+00,4.0023206866e-03,1.1997645016e-03
1.5306122449e+03,4.9996910679e+01,9.9556446658e-01,4.0023206866e-03,9.9556446658e-04
1.5816326531e+03,4.9996910679e+01,7.9136443155e-01,4.0023206866e-03,7.9136443155e-04
1.6326530612e+03,4.9996910679e+01,5.8716439652e-01,4.0023206866e-03,5.8716439652e-04
1.6836734694e+03,4.9996910679e+01,3.8296436149e-01,4.0023206866e-03,3.8296436149e-04
1.7346938776e+03,4.9996910679e+01,1.7876432645e-01,4.0023206866e-03,1.7876432645e-04
1.7857142857e+03,4.9996910679e+01,-2.5435708580e-02,4.0023206866e-03,-2.5435708580e-05
1.8367346939e+03,4.9996910679e+01,-2.2963574361e-01,4.0023206866e-03,-2.2963574361e-04
1.8877551020e+03,4.9996910679e+01,-4.3383577864e-01,4.0023206866e-03,-4.3383577864e-04
1.9387755102e+03,4.9996910679e+01,-6.3803581368e-01,4.0023206866e-03,-6.3803581368e-04
1.9897959184e+03,4.9996910679e+01,-8.4223584871e-01,4.0023206866e-03,-8.4223584871e-04
2.0408163265e+03,4.9996910679e+01,-1.0464358837e+00,4.0023206866e-03,-1.0464358837e-03
2.0918367347e+03,4.9996910679e+01,-1.2506359188e+00,4.0023206866e-03,-1.2506359188e-03
2.1428571429e+03,4.9996910679e+01,-1.4548359538e+00,4.0023206866e-03,-1.4548359538e-03
2.1938775510e+03,4.9996910679e+01,-1.6590359888e+00,4.0023206866e-03,-1.6590359888e-03
2.2448979592e+03,4.9996910679e+01,-1.8632360239e+00,4.0023206866e-03,-1.8632360239e-03
2.2959183673e+03,4.9996910679e+01,-2.0674360589e+00,4.0023206866e-03,-2.0674360589e-03
2.3469387755e+03,4.9996910679e+01,-2.2716360939e+00,4.0023206866e-03,-2.2716360939e-03
2.3979591837e+03,4.9996910679e+01,-2.4758361290e+00,4.0023206866e-03,-2.4758361290e-03
2.4489795918e+03,4.9996910679e+01,-2.6800361640e+00,4.0023206866e-03,-2.6800361640e-03
2.5000000000e+03,4.9996910679e+01,-2.8842361990e+00,4.0023206866e-03,-2.8842361990e-03
