x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,3.5344050393e+01,8.8201654785e-01,-2.9637220473e-04,8.8201654785e-04
7.2153753182e+01,3.5344050393e+01,9.0340091476e-01,-2.9637220473e-04,9.0340091476e-04
1.4430750636e+02,3.5344050393e+01,9.2478528167e-01,-2.9637220473e-04,9.2478528167e-04
2.1646125955e+02,3.5344050393e+01,9.4616964858e-01,-2.9637220473e-04,9.4616964858e-04
2.8861501273e+02,3.5344050393e+01,9.6755401549e-01,-2.9637220473e-04,9.6755401549e-04
3.6076876591e+02,3.5344050393e+01,9.8893838240e-01,-2.9637220473e-04,9.8893838240e-04
4.3292251909e+02,3.5344050393e+01,1.0103227493e+00,-2.9637220473e-04,1.0103227493e-03
5.0507627228e+02,3.5344050393e+01,1.0317071162e+00,-2.9637220473e-04,1.0317071162e-03
5.7723002546e+02,3.5344050393e+01,1.0530914831e+00,-2.9637220473e-04,1.0530914831e-03
6.4938377864e+02,3.5344050393e+01,1.0744758500e+00,-2.9637220473e-04,1.0744758500e-03
7.2153753182e+02,3.5344050393e+01,1.0958602169e+00,-2.9637220473e-04,1.0958602169e-03
7.9369128501e+02,3.5344050393e+01,1.1172445839e+00,-2.9637220473e-04,1.1172445839e-03
8.6584503819e+02,3.5344050393e+01,1.1386289508e+00,-2.9637220473e-04,1.1386289508e-03
9.3799879137e+02,3.5344050393e+01,1.1600133177e+00,-2.9637220473e-04,1.1600133177e-03
1.0101525446e+03,3.5344050393e+01,1.1813976846e+00,-2.9637220473e-04,1.1813976846e-03
1.0823062977e+03,3.5344050393e+01,1.2027820515e+00,-2.9637220473e-04,1.2027820515e-03
1.1544600509e+03,3.5344050393e+01,1.2241664184e+00,-2.9637220473e-04,1.2241664184e-03
1.2266138041e+03,3.5344050393e+01,1.2455507853e+00,-2.9637220473e-04,1.2455507853e-03
1.2987675573e+03,3.5344050393e+01,1.2669351522e+00,-2.9637220473e-04,1.2669351522e-03
1.3709213105e+03,3.5344050393e+01,1.2883195191e+00,-2.9637220473e-04,1.2883195191e-03
1.4430750636e+03,3.5344050393e+01,1.3097038860e+00,-2.9637220473e-04,1.3097038860e-03
1.5152288168e+03,3.5344050393e+01,1.3310882530e+00,-2.9637220473e-04,1.3310882530e-03
1.5873825700e+03,3.5344050393e+01,1.3524726199e+00,-2.9637220473e-04,1.3524726199e-03
1.6595363232e+03,3.5344050393e+01,1.3738569868e+00,-2.9637220473e-04,1.3738569868e-03
1.7316900764e+03,3.5344050393e+01,1.3952413537e+00,-2.9637220473e-04,1.3952413537e-03
1.8038438296e+03,3.5344050393e+01,1.4166257206e+00,-2.9637220473e-04,1.4166257206e-03
1.8759975827e+03,3.5344050393e+01,1.4380100875e+00,-2.9637220473e-04,1.4380100875e-03
1.9481513359e+03,3.5344050393e+01,1.4593944544e+00,-2.9637220473e-04,1.4593944544e-03
2.0203050891e+03,3.5344050393e+01,1.4807788213e+00,-2.9637220473e-04,1.4807788213e-03
2.0924588423e+03,3.5344050393e+01,1.5021631882e+00,-2.9637220473e-04,1.5021631882e-03
2.1646125955e+03,3.5344050393e+01,1.5235475551e+00,-2.9637220473e-04,1.5235475551e-03
2.2367663487e+03,3.5344050393e+01,1.5449319221e+00,-2.9637220473e-04,1.5449319221e-03
2.3089201018e+03,3.5344050393e+01,1.5663162890e+00,-2.9637220473e-04,1.5663162890e-03
2.3810738550e+03,3.5344050393e+01,1.5877006559e+00,-2.9637220473e-04,1.5877006559e-03
2.4532276082e+03,3.5344050393e+01,1.6090850228e+00,-2.9637220473e-04,1.6090850228e-03
2.5253813614e+03,3.5344050393e+01,1.6304693897e+00,-2.9637220473e-04,1.6304693897e-03
2.5975351146e+03,3.5344050393e+01,1.6518537566e+00,-2.9637220473e-04,1.6518537566e-03
2.6696888677e+03,3.5344050393e+01,1.6732381235e+00,-2.9637220473e-04,1.6732381235e-03
2.7418426209e+03,3.5344050393e+01,1.6946224904e+00,-2.9637220473e-04,1.6946224904e-03
2.8139963741e+03,3.5344050393e+01,1.7160068573e+00,-2.9637220473e-04,1.7160068573e-03
2.8861501273e+03,3.5344050393e+01,1.7373912242e+00,-2.9637220473e-04,1.7373912242e-03
2.9583038805e+03,3.5344050393e+01,1.7587755912e+00,-2.9637220473e-04,1.7587755912e-03
3.0304576337e+03,3.5344050393e+01,1.7801599581e+00,-2.9637220473e-04,1.7801599581e-03
3.1026113868e+03,3.5344050393e+01,1.8015443250e+00,-2.9637220473e-04,1.8015443250e-03
3.1747651400e+03,3.5344050393e+01,1.8229286919e+00,-2.9637220473e-04,1.8229286919e-03
3.2469188932e+03,3.5344050393e+01,1.8443130588e+00,-2.9637220473e-04,1.8443130588e-03
3.3190726464e+03,3.5344050393e+01,1.8656974257e+00,-2.9637220473e-04,1.8656974257e-03
3.3912263996e+03,3.5344050393e+01,1.8870817926e+00,-2.9637220473e-04,1.8870817926e-03
3.4633801528e+03,3.5344050393e+01,1.9084661595e+00,-2.9637220473e-04,1.9084661595e-03
3.5355339059e+03,3.5344050393e+01,1.9298505264e+00,-2.9637220473e-04,1.9298505264e-03
